idx,talent,wing,state,res_ani
1,1,0,idle,ca_ani_idle
1,1,1,idle,ca_ani_idle_wing
1,2,0,idle,he_ani_idle
1,2,1,idle,he_ani_idle_wing
1,3,0,idle,om_ani_idle
1,3,1,idle,om_ani_idle_wing
2,1,0,run,ca_ani_run
2,1,1,run,ca_ani_run_wing
2,2,0,run,he_ani_run
2,2,1,run,he_ani_run_wing
2,3,0,run,om_ani_run
2,3,1,run,om_ani_run_wing
3,1,0,attack,ca_ani_attack1
3,1,1,attack,ca_ani_attack1_wing
3,2,0,attack,he_ani_attack1
3,2,1,attack,he_ani_attack1_wing
3,3,0,attack,om_ani_attack1
3,3,1,attack,om_ani_attack1_wing
4,1,0,hit,ca_ani_hit
4,1,1,hit,ca_ani_hit_wing
4,2,0,hit,he_ani_hit
4,2,1,hit,he_ani_hit_wing
4,3,0,hit,om_ani_hit
4,3,1,hit,om_ani_hit_wing
5,1,0,hit_critical,ca_ani_hit_critical
5,1,1,hit_critical,ca_ani_hit_critical
5,2,0,hit_critical,he_ani_hit_critical
5,2,1,hit_critical,he_ani_hit_critical
5,3,0,hit_critical,om_ani_hit_critical
5,3,1,hit_critical,om_ani_hit_critical
6,1,0,avoid,ca_ani_avoid
6,1,1,avoid,ca_ani_avoid
6,2,0,avoid,he_ani_avoid
6,2,1,avoid,he_ani_avoid
6,3,0,avoid,om_ani_avoid
6,3,1,avoid,om_ani_avoid
7,1,0,death,ca_ani_death
7,1,1,death,ca_ani_death_wing
7,2,0,death,he_ani_death
7,2,1,death,he_ani_death_wing
7,3,0,death,om_ani_death
7,3,1,death,om_ani_death_wing
8,1,0,burst,ca_ani_burst
8,1,1,burst,ca_ani_burst_wing
8,2,0,burst,he_ani_burst
8,2,1,burst,he_ani_burst_wing
8,3,0,burst,om_ani_burst
8,3,1,burst,om_ani_burst_wing
9,1,0,skill_run1,ca_ani_run
9,1,1,skill_run1,ca_ani_run_wing
9,2,0,skill_run1,he_ani_run
9,2,1,skill_run1,he_ani_run_wing
9,3,0,skill_run1,om_ani_run
10,3,1,skill_run1,om_ani_run_wing
10,1,0,skill_run2,ca_ani_run
10,1,1,skill_run2,ca_ani_run_wing
10,2,0,skill_run2,he_ani_run
10,2,1,skill_run2,he_ani_run_wing
10,3,0,skill_run2,om_ani_run
