idx,condition1_type,condition1_value,condition2_type,condition2_value,condition3_type,condition3_value,condition4_type,condition4_value,condition5_type,condition5_value
1,1,1,0,0,0,0,0,0,0,0
2,2,10,0,0,0,0,0,0,0,0
3,3,2,0,0,0,0,0,0,0,0
4,4,3,0,0,0,0,0,0,0,0
5,11,90,0,0,0,0,0,0,0,0
6,12,10,0,0,0,0,0,0,0,0
7,13,90,0,0,0,0,0,0,0,0
8,14,10,0,0,0,0,0,0,0,0
9,21,4,0,0,0,0,0,0,0,0
10,22,2,0,0,0,0,0,0,0,0
11,23,5,0,0,0,0,0,0,0,0
12,24,1,0,0,0,0,0,0,0,0
13,31,1,0,0,0,0,0,0,0,0
14,32,6,0,0,0,0,0,0,0,0
15,41,30,0,0,0,0,0,0,0,0
16,42,15,0,0,0,0,0,0,0,0
