idx,name_string,type,grade,attribute,talent,role,str,vit,agi,dex,luk,atk,def,def_pen,hp,hit,avd,cri,cri_dmg,res,spd,res_atlas,res_icon
1,dino_class_1,1,1,1,1,2,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,ui_atlas_skill,ui_icon_class_1
2,dino_class_1,1,1,1,2,2,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,ui_atlas_skill,ui_icon_class_2
3,dino_class_1,1,1,1,3,2,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,ui_atlas_skill,ui_icon_class_3
4,dino_class_2,2,1,1,1,3,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,ui_atlas_skill,ui_icon_class_4
5,dino_class_2,2,1,1,2,3,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,ui_atlas_skill,ui_icon_class_5
6,dino_class_2,2,1,1,3,3,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,ui_atlas_skill,ui_icon_class_6
7,dino_class_3,3,2,1,1,1,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,ui_atlas_skill,ui_icon_class_7
8,dino_class_3,3,2,1,2,1,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,ui_atlas_skill,ui_icon_class_8
9,dino_class_3,3,2,1,3,1,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,ui_atlas_skill,ui_icon_class_9
10,dino_class_4,4,1,2,1,1,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,ui_atlas_skill,ui_icon_class_10
11,dino_class_4,4,1,2,2,1,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,ui_atlas_skill,ui_icon_class_11
12,dino_class_4,4,1,2,3,1,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,ui_atlas_skill,ui_icon_class_12
13,dino_class_5,5,1,2,1,2,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,ui_atlas_skill,ui_icon_class_13
14,dino_class_5,5,1,2,2,2,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,ui_atlas_skill,ui_icon_class_14
15,dino_class_5,5,1,2,3,2,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,ui_atlas_skill,ui_icon_class_15
16,dino_class_6,6,2,2,1,3,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,ui_atlas_skill,ui_icon_class_16
17,dino_class_6,6,2,2,2,3,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,ui_atlas_skill,ui_icon_class_17
18,dino_class_6,6,2,2,3,3,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,ui_atlas_skill,ui_icon_class_18
19,dino_class_7,7,1,3,1,1,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,ui_atlas_skill,ui_icon_class_19
20,dino_class_7,7,1,3,2,1,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,ui_atlas_skill,ui_icon_class_20
21,dino_class_7,7,1,3,3,1,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,ui_atlas_skill,ui_icon_class_21
22,dino_class_8,8,1,3,1,3,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,ui_atlas_skill,ui_icon_class_22
23,dino_class_8,8,1,3,2,3,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,ui_atlas_skill,ui_icon_class_23
24,dino_class_8,8,1,3,3,3,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,ui_atlas_skill,ui_icon_class_24
25,dino_class_9,9,2,3,1,2,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,ui_atlas_skill,ui_icon_class_25
26,dino_class_9,9,2,3,2,2,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,ui_atlas_skill,ui_icon_class_26
27,dino_class_9,9,2,3,3,2,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,ui_atlas_skill,ui_icon_class_27
28,dino_class_10,10,3,4,1,1,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,ui_atlas_skill,ui_icon_class_28
29,dino_class_10,10,3,4,2,1,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,ui_atlas_skill,ui_icon_class_29
30,dino_class_10,10,3,4,3,1,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,ui_atlas_skill,ui_icon_class_30
