idx,projectile_type,link_bone_move,active_pos_type,correct_pos
Blood,1,0,fx_hit,0/0/0
Blueberry_juce_Move,1,0,fx_hit,0/0/0
burst_orange,1,0,fx_body,0/0/0
ca_attack_breath,1,0,fx_mouth,0/0/0
Character_Move_Smoke,1,0,fx_bottom,0/0/0
common_hit,1,0,fx_hit,0/0/0
common_run_dust,1,0,fx_bottom,0/0/0
Death,1,0,fx_hit,0/0/0
DragonBuff_AttackUp,1,0,fx_body,0/0/0
fx_bite,1,0,fx_body,0/0/0
fx_blizzard,1,0,fx_bottom,0/0/0
fx_buff_attackpower_down,1,0,fx_body,0/0/0
fx_buff_attackpower_up,1,0,fx_body,0/0/0
fx_buff_stun,1,0,fx_head,0/0/0
fx_buff_aggro,1,0,fx_head,0/0/0
fx_buff_charm,1,0,fx_head,0/0/0
fx_buff_confuse,1,0,fx_head,0/0/0
fx_buff_freeze,1,0,fx_head,0/0/0
fx_buff_fury,1,0,fx_head,0/0/0
fx_buff_sleep,1,0,fx_head,0/0/0
fx_buff_wound_body,1,0,fx_head,0/0/0
fx_buff_wound_headtail,1,0,fx_head,0/0/0
FX_Burst_Aura,1,0,fx_body,0/0/0
fx_burst_banana,1,0,fx_body,0/0/0
fx_burst_full_dust,1,0,fx_body,0/0/0
fx_burst_full_ui,1,0,fx_body,0/0/0
fx_burst_normal_dust,1,0,fx_body,0/0/0
fx_burst_normal_ui,1,0,fx_body,0/0/0
fx_burst_orange,1,0,fx_body,0/0/0
fx_burst_ultra_dust,1,0,fx_body,0/0/0
fx_burst_ultra_ui,1,0,fx_body,0/0/0
fx_burst_watermelon,1,0,fx_body,0/0/0
fx_coconut_pirate_01_stab,1,0,fx_body,0/0/0
fx_coconut_pirate_02_casting,1,0,fx_bottom,0/0/0
fx_coconut_pirate_02_projectile,2,0,fx_weapon,0/0/0
fx_death,1,0,fx_bottom,0/0/0
fx_fire_ball,2,0,fx_weapon,0/0/0
fx_fire_ball_hit,1,0,fx_hit,0/0/0
fx_fire_breath,1,0,fx_weapon,0/0/0
fx_health_up,1,0,fx_body,0/0/0
fx_ice_arrow,2,0,fx_weapon,0/0/0
fx_ice_arrow_hit,1,0,fx_hit,0/0/0
fx_meteor_explosion,1,0,fx_bottom,0/0/0
fx_meteor_explosion_all,1,0,fx_bottom,0/0/0
fx_skill_blueberry_gun,1,0,fx_mouth,0/0/0
fx_skill_blueberry_gun_projectile,2,0,fx_mouth,0/0/0
fx_skill_blueberry_gun_Hit,1,0,fx_body,0/0/0
fx_skill_blueberry_gun_Hit_original,1,0,fx_body,0/0/0
fx_skill_blueberry_jump_attack,1,0,fx_body,0/0/0
fx_skill_blueberry_parabola_shot_Hit,1,0,fx_body,0/0/0
fx_skill_blueberry_parabola_shot_Projectile,2,0,fx_mouth,0/0/0
fx_skill_blueberry_parabola_shot_Start,1,0,fx_body,0/0/0
fx_skill_blueberry_bubble_shotgun_Projectile,2,0,fx_body,0/0/0
fx_skill_blueberry_bubble_shotgun_Hit,1,0,fx_hit,0/0/0
fx_skill_blueberry_tumbling_shot,1,0,fx_mouth,0/0/0
fx_skill_blueberry_tumbling_shot_Hit,1,0,fx_hit,0/0/0
fx_skill_coconut_barrier01,1,0,fx_body,0/0/0
fx_skill_coconut_barrier01_loop,1,0,fx_body,0/0/0
fx_skill_coconut_barrier01_loop_End,1,0,fx_body,0/0/0
fx_skill_coconut_barrier01_loop_Start,1,0,fx_body,0/0/0
fx_skill_coconut_headButt,1,0,fx_body,0/0/0
fx_skill_coconut_headButt_Hit,1,0,fx_hit,0/0/0
fx_skill_coconut_stomp_Drop,2,0,fx_mouth,0/0/0
fx_skill_coconut_stomp_Hit,1,0,fx_hit,0/0/0
fx_skill_coconut_stomp_Smoke,1,0,fx_hit,0/0/0
fx_skill_coconut_tail_shot_Hit,1,0,fx_hit,0/0/0
fx_skill_coconut_tail_shot_Makecoconut,1,1,fx_tail,0/0/0
fx_skill_coconut_tail_shot_Projectile,2,0,fx_mouth,0/0/0
fx_skill_dragonfruit_breath_HitFlame,1,0,fx_body,0/0/0
fx_skill_dragonfruit_fly_air_breath,1,1,fx_mouth,0/0/0
fx_skill_dragonfruit_fly_air_breath_HitFlame,1,0,fx_body,0/0/0
fx_skill_dragonfruit_fly_l2r_breath,1,1,fx_mouth,0/0/0
fx_skill_dragonfruit_fly_tumbleing_breath,1,0,fx_body,0/0/0
fx_skill_orange_buff01,1,0,fx_body,0/0/0
fx_skill_orange_buff01_Loop,1,0,fx_body,0/0/0
fx_skill_orange_Headbutt,1,0,fx_body,0/0/0
fx_skill_orange_moon_sword,1,0,fx_body,0/0/0
fx_skill_orange_moon_sword_Casting,1,0,fx_body,0/0/0
fx_skill_orange_moon_sword_Hit,1,0,fx_hit,0/0/0
fx_skill_orange_moon_sword_projectile,2,0,fx_mouth,0/0/0
fx_skill_orange_rolling_attack,1,0,fx_body,0/0/0
fx_skill_orange_rolling_attack_Hit,1,0,fx_body,0/0/0
fx_skill_orange_rolling_attack_Loop,1,0,fx_body,0/0/0
fx_skill_orange_tail_drill,1,0,fx_tail,0/0/0
fx_skill_orange_tail_knife,1,0,fx_body,0/0/0
fx_skill_watermelon_buff01,1,0,fx_body,0/0/0
fx_skill_watermelon_buff01_Watermelon_Loop,1,0,fx_body,0/0/0
fx_skill_watermelon_Headbutt_rolling,1,0,fx_body,0/0/0
