idx,pos1_monster_id,pos2_monster_id,pos3_monster_id,pos4_monster_id,pos5_monster_id,pos6_monster_id,pos7_monster_id,pos8_monster_id,pos9_monster_id
11,11,11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,12
13,0,0,0,11,11,0,0,0,0
21,11,11,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,12
23,0,0,0,11,11,0,0,0,0
31,11,11,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,12
33,0,0,0,11,11,0,0,0,0
41,11,11,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,12
43,0,0,0,11,11,0,0,0,0
51,11,11,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,12
53,0,0,0,11,11,0,0,0,0
61,11,11,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,12
63,0,0,0,11,11,0,0,0,0
71,11,11,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,12
73,0,0,0,11,11,0,0,0,0
81,11,11,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,12
83,0,0,0,11,11,0,0,0,0
91,11,11,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,12
93,0,0,0,11,11,0,0,0,0
101,11,11,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,12
103,0,0,0,11,11,0,0,0,0
111,11,11,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,12
113,0,0,0,11,11,0,0,0,0
121,11,11,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,12
123,0,0,0,11,11,0,0,0,0
131,11,11,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0,12
133,0,0,0,11,11,0,0,0,0
141,11,11,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0,12
143,0,0,0,11,11,0,0,0,0
151,11,11,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,12
153,0,0,0,11,11,0,0,0,0
161,11,11,0,0,0,0,0,0,0
162,0,0,0,0,0,0,0,0,12
163,0,0,0,11,11,0,0,0,0
171,11,11,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,0,12
173,0,0,0,11,11,0,0,0,0
181,11,11,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,0,12
183,0,0,0,11,11,0,0,0,0
191,11,11,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0,12
193,0,0,0,11,11,0,0,0,0
201,11,11,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0,0,12
203,0,0,0,11,11,0,0,0,0
211,11,11,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,0,12
213,0,0,0,11,11,0,0,0,0
221,11,11,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0,12
223,0,0,0,11,11,0,0,0,0
231,11,11,0,0,0,0,0,0,0
232,0,0,0,0,0,0,0,0,12
233,0,0,0,11,11,0,0,0,0
241,11,11,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0,0,12
243,0,0,0,11,11,0,0,0,0
251,11,11,0,0,0,0,0,0,0
252,0,0,0,0,0,0,0,0,12
253,0,0,0,11,11,0,0,0,0
261,11,11,0,0,0,0,0,0,0
262,0,0,0,0,0,0,0,0,12
263,0,0,0,11,11,0,0,0,0
271,11,11,0,0,0,0,0,0,0
272,0,0,0,0,0,0,0,0,12
273,0,0,0,11,11,0,0,0,0
281,11,11,0,0,0,0,0,0,0
282,0,0,0,0,0,0,0,0,12
283,0,0,0,11,11,0,0,0,0
291,11,11,0,0,0,0,0,0,0
292,0,0,0,0,0,0,0,0,12
293,0,0,0,11,11,0,0,0,0
301,11,11,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,12
303,0,0,0,11,11,0,0,0,0
311,11,11,0,0,0,0,0,0,0
312,0,0,0,0,0,0,0,0,12
313,0,0,0,11,11,0,0,0,0
321,11,11,0,0,0,0,0,0,0
322,0,0,0,0,0,0,0,0,12
323,0,0,0,11,11,0,0,0,0
331,11,11,0,0,0,0,0,0,0
332,0,0,0,0,0,0,0,0,12
333,0,0,0,11,11,0,0,0,0
341,11,11,0,0,0,0,0,0,0
342,0,0,0,0,0,0,0,0,12
343,0,0,0,11,11,0,0,0,0
351,11,11,0,0,0,0,0,0,0
352,0,0,0,0,0,0,0,0,12
353,0,0,0,11,11,0,0,0,0
361,11,11,0,0,0,0,0,0,0
362,0,0,0,0,0,0,0,0,12
363,0,0,0,11,11,0,0,0,0
371,11,11,0,0,0,0,0,0,0
372,0,0,0,0,0,0,0,0,12
373,0,0,0,11,11,0,0,0,0
381,11,11,0,0,0,0,0,0,0
382,0,0,0,0,0,0,0,0,12
383,0,0,0,11,11,0,0,0,0
391,11,11,0,0,0,0,0,0,0
392,0,0,0,0,0,0,0,0,12
393,0,0,0,11,11,0,0,0,0
401,11,11,0,0,0,0,0,0,0
402,0,0,0,0,0,0,0,0,12
403,0,0,0,11,11,0,0,0,0
411,11,11,0,0,0,0,0,0,0
412,0,0,0,0,0,0,0,0,12
413,0,0,0,11,11,0,0,0,0
421,11,11,0,0,0,0,0,0,0
422,0,0,0,0,0,0,0,0,12
423,0,0,0,11,11,0,0,0,0
431,11,11,0,0,0,0,0,0,0
432,0,0,0,0,0,0,0,0,12
433,0,0,0,11,11,0,0,0,0
441,11,11,0,0,0,0,0,0,0
442,0,0,0,0,0,0,0,0,12
443,0,0,0,11,11,0,0,0,0
451,11,11,0,0,0,0,0,0,0
452,0,0,0,0,0,0,0,0,12
453,0,0,0,11,11,0,0,0,0
461,11,11,0,0,0,0,0,0,0
462,0,0,0,0,0,0,0,0,12
463,0,0,0,11,11,0,0,0,0
471,11,11,0,0,0,0,0,0,0
472,0,0,0,0,0,0,0,0,12
473,0,0,0,11,11,0,0,0,0
481,11,11,0,0,0,0,0,0,0
482,0,0,0,0,0,0,0,0,12
483,0,0,0,11,11,0,0,0,0
491,11,11,0,0,0,0,0,0,0
492,0,0,0,0,0,0,0,0,12
493,0,0,0,11,11,0,0,0,0
501,11,11,0,0,0,0,0,0,0
502,0,0,0,0,0,0,0,0,12
503,0,0,0,11,11,0,0,0,0
511,11,11,0,0,0,0,0,0,0
512,0,0,0,0,0,0,0,0,12
513,0,0,0,11,11,0,0,0,0
521,11,11,0,0,0,0,0,0,0
522,0,0,0,0,0,0,0,0,12
523,0,0,0,11,11,0,0,0,0
531,11,11,0,0,0,0,0,0,0
532,0,0,0,0,0,0,0,0,12
533,0,0,0,11,11,0,0,0,0
541,11,11,0,0,0,0,0,0,0
542,0,0,0,0,0,0,0,0,12
543,0,0,0,11,11,0,0,0,0
551,11,11,0,0,0,0,0,0,0
552,0,0,0,0,0,0,0,0,12
553,0,0,0,11,11,0,0,0,0
561,11,11,0,0,0,0,0,0,0
562,0,0,0,0,0,0,0,0,12
563,0,0,0,11,11,0,0,0,0
571,11,11,0,0,0,0,0,0,0
572,0,0,0,0,0,0,0,0,12
573,0,0,0,11,11,0,0,0,0
581,11,11,0,0,0,0,0,0,0
582,0,0,0,0,0,0,0,0,12
583,0,0,0,11,11,0,0,0,0
591,11,11,0,0,0,0,0,0,0
592,0,0,0,0,0,0,0,0,12
593,0,0,0,11,11,0,0,0,0
601,11,11,0,0,0,0,0,0,0
602,0,0,0,0,0,0,0,0,12
603,0,0,0,11,11,0,0,0,0
611,11,11,0,0,0,0,0,0,0
612,0,0,0,0,0,0,0,0,12
613,0,0,0,11,11,0,0,0,0
621,11,11,0,0,0,0,0,0,0
622,0,0,0,0,0,0,0,0,12
623,0,0,0,11,11,0,0,0,0
631,11,11,0,0,0,0,0,0,0
632,0,0,0,0,0,0,0,0,12
633,0,0,0,11,11,0,0,0,0
641,11,11,0,0,0,0,0,0,0
642,0,0,0,0,0,0,0,0,12
643,0,0,0,11,11,0,0,0,0
651,11,11,0,0,0,0,0,0,0
652,0,0,0,0,0,0,0,0,12
653,0,0,0,11,11,0,0,0,0
661,11,11,0,0,0,0,0,0,0
662,0,0,0,0,0,0,0,0,12
663,0,0,0,11,11,0,0,0,0
671,11,11,0,0,0,0,0,0,0
672,0,0,0,0,0,0,0,0,12
673,0,0,0,11,11,0,0,0,0
681,11,11,0,0,0,0,0,0,0
682,0,0,0,0,0,0,0,0,12
683,0,0,0,11,11,0,0,0,0
691,11,11,0,0,0,0,0,0,0
692,0,0,0,0,0,0,0,0,12
693,0,0,0,11,11,0,0,0,0
701,11,11,0,0,0,0,0,0,0
702,0,0,0,0,0,0,0,0,12
703,0,0,0,11,11,0,0,0,0
711,11,11,0,0,0,0,0,0,0
712,0,0,0,0,0,0,0,0,12
713,0,0,0,11,11,0,0,0,0
721,11,11,0,0,0,0,0,0,0
722,0,0,0,0,0,0,0,0,12
723,0,0,0,11,11,0,0,0,0
731,11,11,0,0,0,0,0,0,0
732,0,0,0,0,0,0,0,0,12
733,0,0,0,11,11,0,0,0,0
741,11,11,0,0,0,0,0,0,0
742,0,0,0,0,0,0,0,0,12
743,0,0,0,11,11,0,0,0,0
751,11,11,0,0,0,0,0,0,0
752,0,0,0,0,0,0,0,0,12
753,0,0,0,11,11,0,0,0,0
761,11,11,0,0,0,0,0,0,0
762,0,0,0,0,0,0,0,0,12
763,0,0,0,11,11,0,0,0,0
771,11,11,0,0,0,0,0,0,0
772,0,0,0,0,0,0,0,0,12
773,0,0,0,11,11,0,0,0,0
781,11,11,0,0,0,0,0,0,0
782,0,0,0,0,0,0,0,0,12
783,0,0,0,11,11,0,0,0,0
791,11,11,0,0,0,0,0,0,0
792,0,0,0,0,0,0,0,0,12
793,0,0,0,11,11,0,0,0,0
801,11,11,0,0,0,0,0,0,0
802,0,0,0,0,0,0,0,0,12
803,0,0,0,11,11,0,0,0,0
811,11,11,0,0,0,0,0,0,0
812,0,0,0,0,0,0,0,0,12
813,0,0,0,11,11,0,0,0,0
821,11,11,0,0,0,0,0,0,0
822,0,0,0,0,0,0,0,0,12
823,0,0,0,11,11,0,0,0,0
831,11,11,0,0,0,0,0,0,0
832,0,0,0,0,0,0,0,0,12
833,0,0,0,11,11,0,0,0,0
841,11,11,0,0,0,0,0,0,0
842,0,0,0,0,0,0,0,0,12
843,0,0,0,11,11,0,0,0,0
851,11,11,0,0,0,0,0,0,0
852,0,0,0,0,0,0,0,0,12
853,0,0,0,11,11,0,0,0,0
861,11,11,0,0,0,0,0,0,0
862,0,0,0,0,0,0,0,0,12
863,0,0,0,11,11,0,0,0,0
871,11,11,0,0,0,0,0,0,0
872,0,0,0,0,0,0,0,0,12
873,0,0,0,11,11,0,0,0,0
881,11,11,0,0,0,0,0,0,0
882,0,0,0,0,0,0,0,0,12
883,0,0,0,11,11,0,0,0,0
891,11,11,0,0,0,0,0,0,0
892,0,0,0,0,0,0,0,0,12
893,0,0,0,11,11,0,0,0,0
901,11,11,0,0,0,0,0,0,0
902,0,0,0,0,0,0,0,0,12
903,0,0,0,11,11,0,0,0,0
911,11,11,0,0,0,0,0,0,0
912,0,0,0,0,0,0,0,0,12
913,0,0,0,11,11,0,0,0,0
921,11,11,0,0,0,0,0,0,0
922,0,0,0,0,0,0,0,0,12
923,0,0,0,11,11,0,0,0,0
931,11,11,0,0,0,0,0,0,0
932,0,0,0,0,0,0,0,0,12
933,0,0,0,11,11,0,0,0,0
941,11,11,0,0,0,0,0,0,0
942,0,0,0,0,0,0,0,0,12
943,0,0,0,11,11,0,0,0,0
951,11,11,0,0,0,0,0,0,0
952,0,0,0,0,0,0,0,0,12
953,0,0,0,11,11,0,0,0,0
