idx,body,head,eyes,mouth,back,tail,wing,belly,color
1,orange_01_body,orange_01_headparts,orange_01_eyes,orange_01_mouth,orange_01_back,orange_01_tail,none,none,none
2,orange_01_body,orange_02_headparts,orange_02_eyes,orange_02_mouth,orange_02_back,orange_02_tail,none,none,none
3,orange_01_body,orange_03_headparts,orange_03_eyes,orange_03_mouth,orange_03_back,orange_03_tail,none,none,none
4,orange_01_body,orange_04_headparts,orange_04_eyes,orange_04_mouth,orange_04_back,orange_04_tail,none,none,none
1001,watermelon_01_body,watermelon_01_headparts,watermelon_01_eyes,watermelon_01_mouth,watermelon_01_back,watermelon_01_tail,watermelon_01_wing,none,none
1002,watermelon_01_body,watermelon_02_headparts,watermelon_02_eyes,watermelon_02_mouth,watermelon_02_back,watermelon_02_tail,watermelon_02_wing,none,none
1003,watermelon_01_body,watermelon_03_headparts,watermelon_03_eyes,watermelon_03_mouth,watermelon_03_back,watermelon_03_tail,watermelon_03_wing,none,none
1004,watermelon_01_body,watermelon_04_headparts,watermelon_04_eyes,watermelon_04_mouth,watermelon_04_back,watermelon_04_tail,watermelon_04_wing,none,none
7001,banana_01_body,banana_01_headparts,banana_01_eyes,banana_01_mouth,banana_01_back,banana_01_tail,none,none,none
7002,banana_01_body,banana_02_headparts,banana_02_eyes,banana_02_mouth,banana_02_back,banana_02_tail,none,none,none
7003,banana_01_body,banana_03_headparts,banana_03_eyes,banana_03_mouth,banana_03_back,banana_03_tail,none,none,none
7004,banana_01_body,banana_04_headparts,banana_04_eyes,banana_04_mouth,banana_04_back,banana_04_tail,none,none,none
