idx,name_string,type,type_target,type_calculation,apply_priority_level,dmg_rate,dmg_rate_per_level,dmg_add_type,dmg_add_rate,dmg_add_rate_per_level,stat1_type,stat1_value,stat1_value_per_level,stat2_type,stat2_value,stat2_value_per_level,special_status_type,special_status_value,special_status_value_per_level,duration_turn,duration_turn_per_level,res_fx_buff,res_fx_buff_trigger,res_atlas,res_icon
100001,buff_name_100001,1,1,0,1,0,0,0,0,0,1,5,1,0,0,0,0,0,0,5,0.5,fx_health_up,fx_health_up,Skill_Icon1,icon_buff_str
100002,buff_name_100002,1,1,0,1,0,0,0,0,0,2,5,1,0,0,0,0,0,0,6,0.55,fx_health_up,none,Skill_Icon1,icon_buff_vit
100003,buff_name_100003,1,1,0,1,0,0,0,0,0,3,5,1,0,0,0,0,0,0,7,0.6,fx_health_up,none,Skill_Icon1,icon_buff_agi
100004,buff_name_100004,1,1,0,1,0,0,0,0,0,4,5,1,0,0,0,0,0,0,8,0.65,fx_health_up,none,Skill_Icon1,icon_buff_dex
100005,buff_name_100005,1,1,0,1,0,0,0,0,0,5,5,1,0,0,0,0,0,0,9,0.7,fx_health_up,none,Skill_Icon1,icon_buff_luk
100006,buff_name_100006,1,1,0,2,0,0,0,0,0,11,10,2,16,10,2,0,0,0,10,0.75,fx_health_up,none,Skill_Icon1,icon_buff_atk
100007,buff_name_100007,1,1,0,2,0,0,0,0,0,12,10,2,17,10,2,0,0,0,11,0.8,fx_health_up,none,Skill_Icon1,icon_buff_def
100008,buff_name_100008,1,1,0,2,0,0,0,0,0,13,10,2,18,10,2,0,0,0,12,0.85,fx_health_up,none,Skill_Icon1,icon_buff_def_pen
100009,buff_name_100009,1,1,0,2,0,0,0,0,0,14,10,2,19,10,2,0,0,0,13,0.9,fx_health_up,none,Skill_Icon1,icon_buff_hp
100010,buff_name_100010,1,1,0,2,0,0,0,0,0,15,10,2,20,10,2,0,0,0,14,0.95,fx_health_up,none,Skill_Icon1,icon_buff_hit
100011,buff_name_100011,1,1,0,2,0,0,0,0,0,16,10,2,1,5,1,0,0,0,15,1,fx_health_up,none,Skill_Icon1,icon_buff_avd
100012,buff_name_100012,1,1,0,2,0,0,0,0,0,17,10,2,2,5,1,0,0,0,16,1.05,fx_health_up,none,Skill_Icon1,icon_buff_cri
100013,buff_name_100013,1,1,0,2,0,0,0,0,0,18,10,2,3,5,1,0,0,0,17,1.1,fx_health_up,none,Skill_Icon1,icon_buff_cri_dmg
100014,buff_name_100014,1,1,0,2,0,0,0,0,0,19,10,2,4,5,1,0,0,0,18,1.15,fx_health_up,none,Skill_Icon1,icon_buff_res
100015,buff_name_100015,1,1,0,2,0,0,0,0,0,20,10,2,5,5,1,0,0,0,19,1.2,fx_health_up,none,Skill_Icon1,icon_buff_spd
100016,buff_name_100016,1,1,0,3,0,0,0,0,0,21,10,2,0,0,0,0,0,0,19,1.2,fx_health_up,none,Skill_Icon1,icon_buff_att_dmg
100017,buff_name_100017,1,1,0,3,0,0,0,0,0,22,10,2,0,0,0,0,0,0,19,1.2,fx_health_up,none,Skill_Icon1,icon_buff_att
100018,buff_name_100018,1,1,2,3,1,0.01,1,1,0.01,0,0,0,0,0,0,0,0,0,19,1.2,fx_health_up,none,Skill_Icon1,icon_buff_heal
100019,buff_name_100019,1,1,2,3,1,0.01,2,1,0.01,1,10,2,0,0,0,0,0,0,19,1.2,fx_health_up,none,Skill_Icon1,icon_buff_heal
200001,debuff_name_200001,2,1,1,11,1,0,0,0,0,1,-5,-1,0,0,0,0,0,0,5,0.5,fx_skill_orange_buff01_Loop,fx_health_up,Skill_Icon1,icon_debuff_str
200002,debuff_name_200002,2,1,0,11,0,0,0,0,0,2,-5,-1,0,0,0,0,0,0,18,0.55,fx_bite,none,Skill_Icon1,icon_debuff_vit
200003,debuff_name_200003,2,1,0,11,0,0,0,0,0,3,-5,-1,0,0,0,0,0,0,17,0.6,fx_bite,none,Skill_Icon1,icon_debuff_agi
200004,debuff_name_200004,2,1,0,11,0,0,0,0,0,4,-5,-1,0,0,0,0,0,0,16,0.65,fx_bite,none,Skill_Icon1,icon_debuff_dex
200005,debuff_name_200005,2,1,0,11,0,0,0,0,0,5,-5,-1,0,0,0,0,0,0,15,0.7,fx_bite,none,Skill_Icon1,icon_debuff_luk
200006,debuff_name_200006,2,1,0,12,0,0,0,0,0,11,-10,-2,1,-10,-2,0,0,0,14,0.75,fx_bite,none,Skill_Icon1,icon_debuff_atk
200007,debuff_name_200007,2,1,0,12,0,0,0,0,0,12,-10,-2,1,-10,-2,0,0,0,13,0.8,fx_bite,none,Skill_Icon1,icon_debuff_def
200008,debuff_name_200008,2,1,0,12,0,0,0,0,0,13,-10,-2,1,-10,-2,0,0,0,12,0.85,fx_bite,none,Skill_Icon1,icon_debuff_def_pen
200009,debuff_name_200009,2,1,0,12,0,0,0,0,0,14,-10,-2,1,-10,-2,0,0,0,11,0.9,fx_bite,none,Skill_Icon1,icon_debuff_hp
200010,debuff_name_200010,2,1,0,12,0,0,0,0,0,15,-10,-2,1,-10,-2,0,0,0,10,0.95,fx_bite,none,Skill_Icon1,icon_debuff_hit
200011,debuff_name_200011,2,1,0,12,0,0,0,0,0,16,-10,-2,1,-5,-1,0,0,0,9,1,fx_bite,none,Skill_Icon1,icon_debuff_avd
200012,debuff_name_200012,2,1,0,12,0,0,0,0,0,17,-10,-2,1,-5,-1,0,0,0,8,1.05,fx_bite,none,Skill_Icon1,icon_debuff_cri
200013,debuff_name_200013,2,1,0,12,0,0,0,0,0,18,-10,-2,1,-5,-1,0,0,0,7,1.1,fx_bite,none,Skill_Icon1,icon_debuff_cri_dmg
200014,debuff_name_200014,2,1,0,12,0,0,0,0,0,19,-10,-2,1,-5,-1,0,0,0,6,1.15,fx_bite,none,Skill_Icon1,icon_debuff_res
200015,debuff_name_200015,2,1,0,12,0,0,0,0,0,20,-10,-2,1,-5,-1,0,0,0,5,1.2,fx_bite,none,Skill_Icon1,icon_debuff_spd
200016,debuff_name_200016,2,1,0,13,0,0,0,0,0,21,-10,-2,1,0,0,0,0,0,5,1.2,fx_bite,none,Skill_Icon1,icon_debuff_att_dmg
200017,debuff_name_200017,2,1,0,13,0,0,0,0,0,22,-10,-2,1,0,0,0,0,0,5,1.2,fx_bite,none,Skill_Icon1,icon_debuff_att
200018,debuff_name_200018,2,1,1,13,1,0.01,1,1,0.01,0,0,0,0,0,0,0,0,0,5,1.2,fx_bite,none,Skill_Icon1,icon_debuff_dmg
200019,debuff_name_200019,2,1,1,13,1,0.01,2,1,0.01,1,-10,-2,0,0,0,0,0,0,5,1.2,fx_bite,none,Skill_Icon1,icon_debuff_dmg
