idx,name_string,type,type_action_lock,type_target_lock,type_cc_clear,type_attack_lock,type_target,type_target_auto_ai,value,value_per_level,duration_turn,duration_turn_per_level,group,group_priority_level,res_fx_cc,res_ani_cc,res_atlas,res_icon
1,cc_name_1,4,0,0,0,1,1,0,0,0,15,0,2,1,fx_buff_wound_body,0,Skill_Icon1,icon_cc_wound_body
2,cc_name_2,4,0,0,0,2,1,0,0,0,15,0,2,1,fx_buff_wound_headtail,0,Skill_Icon1,icon_cc_wound_headtail
3,cc_name_3,4,0,0,0,3,1,0,0,0,15,0,2,1,fx_buff_wound_headtail,0,Skill_Icon1,icon_cc_wound_headtail
4,cc_name_4,4,0,0,0,4,1,0,0,0,15,0,2,1,fx_buff_wound_headtail,0,Skill_Icon1,icon_cc_wound_headtail
5,cc_name_5,4,0,0,0,5,1,0,0,0,15,0,2,1,fx_buff_wound_body,0,Skill_Icon1,icon_cc_wound_body
6,cc_name_6,1,1,0,0,0,1,0,0,0,15,0,1,2,fx_buff_stun,0,Skill_Icon1,icon_cc_wound_body
7,cc_name_7,2,1,1,0,0,1,0,0,0,15,0,1,1,fx_buff_freeze,0,Skill_Icon1,icon_cc_wound_body
8,cc_name_8,3,1,0,1,0,1,0,0,0,15,0,1,3,fx_buff_sleep,0,Skill_Icon1,icon_cc_wound_body
9,cc_name_9,8,0,0,0,0,1,3,0,0,15,0,3,1,fx_buff_charm,0,Skill_Icon1,icon_cc_wound_body
10,cc_name_10,9,0,0,0,0,1,2,0,0,15,0,3,2,fx_buff_confuse,0,Skill_Icon1,icon_cc_wound_body
11,cc_name_11,10,0,0,0,0,1,1,0,0,15,0,3,3,fx_buff_fury,0,Skill_Icon1,icon_cc_wound_body
12,cc_name_12,11,0,0,0,0,1,0,0,0,15,0,4,1,fx_buff_aggro,0,Skill_Icon1,icon_cc_wound_body
1001,cc_name_1001,1,1,0,0,0,1,0,0,1,15,0.1,1,2,fx_buff_stun,101,Skill_Icon1,icon_cc_stun
1002,cc_name_1002,1,1,0,0,0,1,0,0,1,15,0.1,1,2,fx_buff_stun,101,Skill_Icon1,icon_cc_stun
2001,cc_name_2001,2,1,1,0,0,1,0,0,1,15,0.1,1,1,fx_buff_freeze,102,Skill_Icon1,icon_cc_freeze
2002,cc_name_2002,2,1,1,0,0,1,0,0,1,15,0.1,1,1,fx_buff_freeze,102,Skill_Icon1,icon_cc_freeze
3001,cc_name_3001,3,1,0,1,0,1,0,0,1,15,0.1,1,3,fx_buff_sleep,103,Skill_Icon1,icon_cc_sleep
3002,cc_name_3002,3,1,0,1,0,1,0,0,1,15,0.1,1,3,fx_buff_sleep,103,Skill_Icon1,icon_cc_sleep
4001,cc_name_4001,4,0,0,0,1,1,0,0,1,15,0.1,1,1,fx_buff_wound_body,0,Skill_Icon1,icon_cc_wound_body
4002,cc_name_4002,4,0,0,0,1,1,0,0,1,15,0.1,2,1,fx_buff_wound_body,0,Skill_Icon1,icon_cc_wound_body
7001,cc_name_7001,7,0,0,0,4,1,0,0,1,15,0.1,2,4,fx_buff_wound_headtail,0,Skill_Icon1,icon_cc_wound_headtail
7002,cc_name_7002,7,0,0,0,4,1,0,0,1,15,0.1,3,4,fx_buff_wound_headtail,0,Skill_Icon1,icon_cc_wound_headtail
8001,cc_name_8001,8,0,0,0,0,1,3,0,1,15,0.1,3,4,fx_buff_charm,104,Skill_Icon1,icon_cc_charm
8002,cc_name_8002,8,0,0,0,0,1,3,0,1,15,0.1,3,4,fx_buff_charm,104,Skill_Icon1,icon_cc_charm
9001,cc_name_9001,9,0,0,0,0,1,2,0,1,15,0.1,3,4,fx_buff_confuse,104,Skill_Icon1,icon_cc_confuse
9002,cc_name_9002,9,0,0,0,0,1,2,0,1,15,0.1,3,4,fx_buff_confuse,104,Skill_Icon1,icon_cc_confuse
10001,cc_name_10001,10,0,0,0,0,1,1,0,1,15,0.1,3,4,fx_buff_fury,104,Skill_Icon1,icon_cc_fury
10002,cc_name_10002,10,0,0,0,0,1,1,0,1,15,0.1,3,4,fx_buff_fury,104,Skill_Icon1,icon_cc_fury
11001,cc_name_11001,11,0,0,0,0,1,0,0,1,15,0.1,4,1,fx_buff_aggro,0,Skill_Icon1,icon_cc_aggro
11002,cc_name_11002,11,0,0,0,0,1,0,0,1,15,0.1,4,1,fx_buff_aggro,0,Skill_Icon1,icon_cc_aggro
