idx,name_string,type,type_calculation,dmg_rate,dmg_rate_per_level,dmg_add_type,dmg_add_rate,dmg_add_rate_per_level,trigger_id,res_fx_activation_stack,res_atlas,res_icon
1,stack_name_1,1,2,1,0.1,2,0.5,0.05,0,fx_health_up,Skill_Icon1,icon_stack_heal
2,stack_name_2,1,0,0,0,0,0,0,0,fx_health_up,Skill_Icon1,icon_stack_buff
3,stack_name_3,1,2,1,0.1,0,0,0,0,fx_health_up,Skill_Icon1,icon_stack_buff
4,stack_name_4,2,1,1,0.1,3,0.5,0.05,0,fx_health_up,Skill_Icon1,icon_stack_buff
5,stack_name_5,2,0,0,0,0,0,0,0,fx_bite,Skill_Icon1,icon_stack_debuff
6,stack_name_6,2,0,0,0,0,0,0,0,fx_bite,Skill_Icon1,icon_stack_cc
7,stack_name_7,2,1,1,0.1,0,0,0,0,fx_bite,Skill_Icon1,icon_stack_dmg
8,stack_name_8,2,1,1,0.1,0,0,0,0,fx_bite,Skill_Icon1,icon_stack_dmg
9,stack_name_9,2,0,0,0,0,0,0,0,fx_bite,Skill_Icon1,icon_stack_debuff
10,stack_name_10,2,1,1,0.1,0,0,0,0,fx_bite,Skill_Icon1,icon_stack_debuff
