idx,trigger_timing,trigger_duration_turn,trigger_count,action1_type,action1_timing,action1_condition_id,action1_rate,action1_rate_per_level,action1_type_target,action1_id,action1_duration_turn,action1_count,action2_type,action2_timing,action2_condition_id,action2_rate,action2_rate_per_level,action2_type_target,action2_id,action2_duration_turn,action2_count,action3_type,action3_timing,action3_condition_id,action3_rate,action3_rate_per_level,action3_type_target,action3_id,action3_duration_turn,action3_count,action4_type,action4_timing,action4_condition_id,action4_rate,action4_rate_per_level,action4_type_target,action4_id,action4_duration_turn,action4_count,action5_type,action5_timing,action5_condition_id,action5_rate,action5_rate_per_level,action5_type_target,action5_id,action5_duration_turn,action5_count
1001,1,100,2,1,1,1,1,0,1,200001,15,2,2,1,1,1,0,1,1001,15,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,1,1,1,2,0,0,1,0,1,1001,15,15,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,1,1,1,3,0,0,1,0,1,6,15,15,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,1,1,1,1,0,0,1,0,1,200001,15,15,2,0,0,1,0,1,1001,15,15,3,0,0,1,0,1,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,2,1,1,1,0,0,1,0,1,200001,15,15,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1006,2,1,1,2,0,0,1,0,1,1001,15,15,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,2,1,1,3,0,0,1,0,1,6,15,15,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,2,1,1,1,0,0,1,0,1,200001,15,15,2,0,0,1,0,1,1001,15,15,3,0,0,1,0,1,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,3,1,1,1,0,0,1,0,1,200001,15,15,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,3,1,1,2,0,0,1,0,1,1001,15,15,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
