idx,desc,dino_type,grade,limited_name,set_group,body,body_name_string,body_skill01,body_skill02,body_bursteffect,head,head_name_string,head_skill01,head_skill02,eyes,eyes_name_string,eyes_skill01,eyes_skill02,mouth,mouth_name_string,mouth_skill01,mouth_skill02,back,back_name_string,back_skill01,back_skill02,tail,tail_name_string,tail_skill01,tail_skill02,wing,wing_name_string,wing_skill01,wing_skill02,
1,1,1,1,none,1,orange_01_body,none,0,0,0,orange_01_headparts,Sharp Orange,2023,0,orange_01_eyes,Cold ,0,0,orange_01_mouth,Talking,0,0,orange_01_back,Kite-shaped,0,0,orange_01_tail,Shaiya Tail,1101,0,none,none,0,0,
2,1,1,1,none,1,none,none,0,0,0,orange_02_headparts,Crescent Orange,1002,0,orange_02_eyes,Angry ,0,0,orange_02_mouth,Annoying,0,0,orange_02_back,Three bony plates,0,0,orange_02_tail,Carved Orange Tail,1102,0,none,none,0,0,
3,1,1,1,none,1,none,none,0,0,0,orange_03_headparts,Half Orange,1003,0,orange_03_eyes,Dazed ,0,0,orange_03_mouth,Saw-toothed,0,0,orange_03_back,Orange,0,0,orange_03_tail,Slice Orange,1103,0,none,none,0,0,
4,1,1,1,none,1,none,none,0,0,0,orange_04_headparts,Helmet Orange,1004,0,orange_04_eyes,Staring ,0,0,orange_04_mouth,Hungry ,0,0,orange_04_back,Sliced,0,0,orange_04_tail,Shark Tail,1104,0,none,none,0,0,
1001,1,2,1,none,1,watermelon_01_body,none,0,0,0,watermelon_01_headparts,Slice Watermelon,2024,0,watermelon_01_eyes,Meticulous,0,0,watermelon_01_mouth,Zigzag ,0,0,watermelon_01_back,Three Triangle,0,0,watermelon_01_tail,Pig Tail,1105,0,none,none,0,0,
1002,1,2,1,none,1,none,none,0,0,0,watermelon_02_headparts,Square Watermelon,1006,0,watermelon_02_eyes,Aggressive,0,0,watermelon_02_mouth,Healthy,0,0,watermelon_02_back,Leaf,0,0,watermelon_02_tail,Cubes,1106,0,none,none,0,0,
1003,1,2,1,none,1,none,none,0,0,0,watermelon_03_headparts,Curved Watermelon,1007,0,watermelon_03_eyes,Confused ,0,0,watermelon_03_mouth,Angry,0,0,watermelon_03_back,Half,0,0,watermelon_03_tail,Slice Watermelon,1107,0,none,none,0,0,
1004,1,2,1,none,1,none,none,0,0,0,watermelon_04_headparts,Flipped Watermelon,1008,0,watermelon_04_eyes,Sparkling,0,0,watermelon_04_mouth,Smiley ,0,0,watermelon_04_back,Hollow,0,0,watermelon_04_tail,Carved Tail,1108,0,none,none,0,0,
2001,1,3,2,none,1,durian_01_body,none,0,0,0,durian_01_headparts,Slice durian,2014,0,durian_01_eyes,Meticulous,0,0,durian_01_mouth,Zigzag ,0,0,durian_01_back,Three Triangle,0,0,durian_01_tail,Pig Tail,1109,0,none,none,0,0,
2002,1,3,2,none,1,none,none,0,0,0,durian_02_headparts,Square durian,1010,0,durian_02_eyes,Aggressive,0,0,durian_02_mouth,Healthy,0,0,durian_02_back,Leaf,0,0,durian_02_tail,Cubes,1110,0,none,none,0,0,
2003,1,3,2,none,1,none,none,0,0,0,durian_03_headparts,Curved durian,1011,0,durian_03_eyes,Confused ,0,0,durian_03_mouth,Angry,0,0,durian_03_back,Half,0,0,durian_03_tail,Slice durian,1111,0,none,none,0,0,
2004,1,3,2,none,1,none,none,0,0,0,durian_04_headparts,Flipped durian,1012,0,durian_04_eyes,Sparkling,0,0,durian_04_mouth,Smiley ,0,0,durian_04_back,Hollow,0,0,durian_04_tail,Carved Tail,2021,0,none,none,0,0,
3001,1,4,1,none,1,coconut_01_body,none,0,0,0,coconut_01_headparts,Double Cones,1013,0,coconut_01_eyes,Timid,0,0,coconut_01_mouth,Buck Teeth,0,0,coconut_01_back,Wave,0,0,coconut_01_tail,Peeled Banana,1113,0,none,none,0,0,
3002,1,4,1,none,1,none,none,0,0,0,coconut_02_headparts,Double Cones,1014,0,coconut_02_eyes,Timid,0,0,coconut_02_mouth,Buck Teeth,0,0,coconut_02_back,Wave,0,0,coconut_02_tail,Peeled Banana,1114,0,none,none,0,0,
3003,1,4,1,none,1,none,none,0,0,0,coconut_03_headparts,Double Cones,1015,0,coconut_03_eyes,Timid,0,0,coconut_03_mouth,Buck Teeth,0,0,coconut_03_back,Wave,0,0,coconut_03_tail,Peeled Banana,1115,0,none,none,0,0,
3004,1,4,1,none,1,none,none,0,0,0,coconut_04_headparts,Double Cones,1016,0,coconut_04_eyes,Timid,0,0,coconut_04_mouth,Buck Teeth,0,0,coconut_04_back,Wave,0,0,coconut_04_tail,Peeled Banana,1116,0,none,none,0,0,
4001,1,5,1,none,1,blueberry_01_body,none,0,0,0,blueberry_01_headparts,Double Cones,1017,0,blueberry_01_eyes,Timid,0,0,blueberry_01_mouth,Buck Teeth,0,0,blueberry_01_back,Wave,0,0,blueberry_01_tail,Peeled Banana,1117,0,none,none,0,0,
4002,1,5,1,none,1,none,none,0,0,0,blueberry_02_headparts,Double Cones,1018,0,blueberry_02_eyes,Timid,0,0,blueberry_02_mouth,Buck Teeth,0,0,blueberry_02_back,Wave,0,0,blueberry_02_tail,Peeled Banana,1118,0,none,none,0,0,
4003,1,5,1,none,1,none,none,0,0,0,blueberry_03_headparts,Double Cones,1019,0,blueberry_03_eyes,Timid,0,0,blueberry_03_mouth,Buck Teeth,0,0,blueberry_03_back,Wave,0,0,blueberry_03_tail,Peeled Banana,1119,0,none,none,0,0,
4004,1,5,1,none,1,none,none,0,0,0,blueberry_04_headparts,Double Cones,1020,0,blueberry_04_eyes,Timid,0,0,blueberry_04_mouth,Buck Teeth,0,0,blueberry_04_back,Wave,0,0,blueberry_04_tail,Peeled Banana,1120,0,none,none,0,0,
5001,1,6,2,none,1,melon_01_body,none,0,0,0,melon_01_headparts,Slice melon,1021,0,melon_01_eyes,Meticulous,0,0,melon_01_mouth,Zigzag ,0,0,melon_01_back,Three Triangle,0,0,melon_01_tail,Pig Tail,2022,0,none,none,0,0,
5002,1,6,2,none,1,none,none,0,0,0,melon_02_headparts,Square melon,1022,0,melon_02_eyes,Aggressive,0,0,melon_02_mouth,Healthy,0,0,melon_02_back,Leaf,0,0,melon_02_tail,Cubes,2018,0,none,none,0,0,
5003,1,6,2,none,1,none,none,0,0,0,melon_03_headparts,Curved melon,1023,0,melon_03_eyes,Confused ,0,0,melon_03_mouth,Angry,0,0,melon_03_back,Half,0,0,melon_03_tail,Slice melon,1123,0,none,none,0,0,
5004,1,6,2,none,1,none,none,0,0,0,melon_04_headparts,Flipped melon,1024,0,melon_04_eyes,Sparkling,0,0,melon_04_mouth,Smiley ,0,0,melon_04_back,Hollow,0,0,melon_04_tail,Carved Tail,1124,0,none,none,0,0,
6001,1,7,1,none,1,pineapple_01_body,none,0,0,0,pineapple_01_headparts,Slice pineapple,1025,0,pineapple_01_eyes,Meticulous,0,0,pineapple_01_mouth,Zigzag ,0,0,pineapple_01_back,Three Triangle,0,0,pineapple_01_tail,Pig Tail,1125,0,none,none,0,0,
6002,1,7,1,none,1,none,none,0,0,0,pineapple_02_headparts,Square pineapple,1026,0,pineapple_02_eyes,Aggressive,0,0,pineapple_02_mouth,Healthy,0,0,pineapple_02_back,Leaf,0,0,pineapple_02_tail,Cubes,1126,0,none,none,0,0,
6003,1,7,1,none,1,none,none,0,0,0,pineapple_03_headparts,Curved pineapple,1027,0,pineapple_03_eyes,Confused ,0,0,pineapple_03_mouth,Angry,0,0,pineapple_03_back,Half,0,0,pineapple_03_tail,Slice pineapple,1127,0,none,none,0,0,
6004,1,7,1,none,1,none,none,0,0,0,pineapple_04_headparts,Flipped pineapple,1028,0,pineapple_04_eyes,Sparkling,0,0,pineapple_04_mouth,Smiley ,0,0,pineapple_04_back,Hollow,0,0,pineapple_04_tail,Carved Tail,1128,0,none,none,0,0,
7001,1,8,1,none,1,banana_01_body,none,0,0,0,banana_01_headparts,Double Cones,1029,0,banana_01_eyes,Timid,0,0,banana_01_mouth,Buck Teeth,0,0,banana_01_back,Wave,0,0,banana_01_tail,Peeled Banana,1129,0,none,none,0,0,
7002,1,8,1,none,1,none,none,0,0,0,banana_02_headparts,Double Cones,1030,0,banana_02_eyes,Timid,0,0,banana_02_mouth,Buck Teeth,0,0,banana_02_back,Wave,0,0,banana_02_tail,Peeled Banana,1130,0,none,none,0,0,
7003,1,8,1,none,1,none,none,0,0,0,banana_03_headparts,Double Cones,1031,0,banana_03_eyes,Timid,0,0,banana_03_mouth,Buck Teeth,0,0,banana_03_back,Wave,0,0,banana_03_tail,Peeled Banana,1131,0,none,none,0,0,
7004,1,8,1,none,1,none,none,0,0,0,banana_04_headparts,Double Cones,1032,0,banana_04_eyes,Timid,0,0,banana_04_mouth,Buck Teeth,0,0,banana_04_back,Wave,0,0,banana_04_tail,Peeled Banana,1132,0,none,none,0,0,
8001,1,9,2,none,1,rambutan_01_body,none,0,0,0,rambutan_01_headparts,Slice rambutan,2015,0,rambutan_01_eyes,Meticulous,0,0,rambutan_01_mouth,Zigzag ,0,0,rambutan_01_back,Three Triangle,0,0,rambutan_01_tail,Pig Tail,1133,0,none,none,0,0,
8002,1,9,2,none,1,none,none,0,0,0,rambutan_02_headparts,Square rambutan,1034,0,rambutan_02_eyes,Aggressive,0,0,rambutan_02_mouth,Healthy,0,0,rambutan_02_back,Leaf,0,0,rambutan_02_tail,Cubes,1134,0,none,none,0,0,
8003,1,9,2,none,1,none,none,0,0,0,rambutan_03_headparts,Curved rambutan,1035,0,rambutan_03_eyes,Confused ,0,0,rambutan_03_mouth,Angry,0,0,rambutan_03_back,Half,0,0,rambutan_03_tail,Slice rambutan,1135,0,none,none,0,0,
8004,1,9,2,none,1,none,none,0,0,0,rambutan_04_headparts,Flipped rambutan,1036,0,rambutan_04_eyes,Sparkling,0,0,rambutan_04_mouth,Smiley ,0,0,rambutan_04_back,Hollow,0,0,rambutan_04_tail,Carved Tail,2019,0,none,none,0,0,
9001,1,10,3,none,1,dragonfruit_01_body,none,0,0,0,dragonfruit_01_headparts,Double Cones,2016,0,dragonfruit_01_eyes,Timid,0,0,dragonfruit_01_mouth,Buck Teeth,0,0,dragonfruit_01_back,Wave,0,0,dragonfruit_01_tail,Peeled dragonfruit,2020,0,dragonfruit_01_wing,none,0,0,
9002,1,10,3,none,1,none,none,0,0,0,dragonfruit_02_headparts,Double Cones,1038,0,dragonfruit_02_eyes,Timid,0,0,dragonfruit_02_mouth,Buck Teeth,0,0,dragonfruit_02_back,Wave,0,0,dragonfruit_02_tail,Peeled dragonfruit,1138,0,dragonfruit_02_wing,none,0,0,
9003,1,10,3,none,1,none,none,0,0,0,dragonfruit_03_headparts,Double Cones,1039,0,dragonfruit_03_eyes,Timid,0,0,dragonfruit_03_mouth,Buck Teeth,0,0,dragonfruit_03_back,Wave,0,0,dragonfruit_03_tail,Peeled dragonfruit,1139,0,dragonfruit_03_wing,none,0,0,
9004,1,10,3,none,1,none,none,0,0,0,dragonfruit_04_headparts,Double Cones,1040,0,dragonfruit_04_eyes,Timid,0,0,dragonfruit_04_mouth,Buck Teeth,0,0,dragonfruit_04_back,Wave,0,0,dragonfruit_04_tail,Peeled dragonfruit,1140,0,dragonfruit_04_wing,none,0,0,
