idx,name_string,desc_string,type,type_active,type_range,type_target,max_level,level_up_item1_id,level_up_item1_count,level_up_item1_count_per_level,level_up_item2_id,level_up_item2_count,level_up_item2_count_per_level,level_up_cost,level_up_cost_per_level,turn_next,turn_cool,turn_control,type_radius,type_calculation,dmg_rate,dmg_rate_per_level,dmg_add_type,dmg_add_rate,dmg_add_rate_per_level,burst_point,trigger_id,type_action,res_fx_run,res_fx_attack,res_fx_hit,res_fx_projectile,res_ani_attack,multi_hit_count,multi_hit_term,res_ani_move_action,move_action_speed,res_atlas,res_icon,res_range_icon
1,skill_name_1,skill_desc_1,1,1,1,3,10,0,1,1,0,1,1,10,2,10,10,0,0+0+0/0+2+0/0+0+0,1,1,0.1,0,0.5,0.05,5,0,1,none,fx_skill_coconut_headButt,fx_skill_orange_moon_sword_Hit,none,3,2,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1,ui_skill_range_atk1
2,skill_name_2,skill_desc_2,1,1,1,3,10,0,1,1,0,1,1,10,2,10,10,0,0+0+0/0+2+0/0+0+0,1,1,0.1,1,0.5,0.05,5,0,1,none,fx_skill_coconut_headButt,fx_skill_orange_moon_sword_Hit,none,3,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_2,ui_skill_range_sup1
3,skill_name_3,skill_desc_3,1,1,1,3,10,0,1,1,0,1,1,10,2,10,10,0,0+0+0/0+2+0/0+0+0,1,1,0.1,2,0.5,0.05,5,0,1,none,fx_skill_coconut_headButt,fx_skill_orange_moon_sword_Hit,none,3,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_3,ui_skill_range_atk1
4,skill_name_4,skill_desc_4,1,1,1,3,10,0,1,1,0,1,1,10,2,10,10,0,0+0+0/0+2+0/0+0+0,1,1,0.1,3,0.5,0.05,5,0,1,none,fx_skill_coconut_headButt,fx_skill_orange_moon_sword_Hit,none,3,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_4,ui_skill_range_sup1
5,skill_name_5,skill_desc_5,1,1,1,3,10,0,1,1,0,1,1,10,2,10,10,0,0+0+0/0+2+0/0+0+0,1,1,0.1,4,0.5,0.05,5,0,1,none,fx_skill_coconut_headButt,fx_skill_orange_moon_sword_Hit,none,3,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_5,ui_skill_range_atk1
6,skill_name_6,skill_desc_6,1,1,1,3,10,0,1,1,0,1,1,10,2,10,10,0,0+0+0/0+2+0/0+0+0,1,1,0.1,5,0.5,0.05,5,0,1,none,fx_skill_coconut_headButt,fx_skill_orange_moon_sword_Hit,none,3,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_6,ui_skill_range_sup1
7,skill_name_7,skill_desc_7,1,1,1,3,10,0,1,1,0,1,1,10,2,10,10,0,0+0+0/0+2+0/0+0+0,1,1,0.1,0,0.5,0.05,5,0,1,none,fx_skill_coconut_headButt,fx_skill_orange_moon_sword_Hit,none,3,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_7,ui_skill_range_atk1
8,skill_name_8,skill_desc_8,1,1,1,3,10,0,1,1,0,1,1,10,2,10,10,0,0+0+0/0+2+0/0+0+0,1,1,0.1,1,0.5,0.05,5,0,1,none,fx_skill_coconut_headButt,fx_skill_orange_moon_sword_Hit,none,3,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_8,ui_skill_range_sup1
9,skill_name_9,skill_desc_9,1,1,1,3,10,0,1,1,0,1,1,10,2,10,10,0,0+0+0/0+2+0/0+0+0,1,1,0.1,2,0.5,0.05,5,0,1,none,fx_skill_coconut_headButt,fx_skill_orange_moon_sword_Hit,none,3,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_9,ui_skill_range_atk1
10,skill_name_10,skill_desc_10,1,1,1,3,10,0,1,1,0,1,1,10,2,10,10,0,0+0+0/0+2+0/0+0+0,1,1,0.1,3,0.5,0.05,5,0,1,none,fx_skill_coconut_headButt,fx_skill_orange_moon_sword_Hit,none,3,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_10,ui_skill_range_sup1
