idx,kr312,en52
1,제네시스,Genesis
2,아투온,Atuon
3,Str,Str
4,Vit,Vit
5,Agi,Agi
6,Dex,Dex
7,Luk,Luk
8,워터루스,Waterus
9,오레우스,Oreus
10,두리우스,Durius
11,코코우라,Cocoura
12,베리우라,Berryura
13,멜로우라,Meloura
14,파이쿠스,Piecus
15,바나쿠스,Banacus
16,람쿠스,Ramcus
17,티곤,Tigon
1001,오렌지 사이얀,Orange Saiyan
1002,파란 도마뱀,Blue Gekko
1003,그르르르,Grrrr.
1004,날카로운 등껍질,
1005,뾰족 ,
1006,초승달 뿔,
1007,부은 눈,swollen eyes
1008,,
1009,,
1010,,
1011,,
1012,파란 염소,Blue Goat
1013,톱날,Saw blade
1014,반쪽 오렌지,
1015,,
1016,,
1017,,
1018,,
1019,,
1020,,
1021,,
1022,,
1023,,
1024,,
1025,,
1026,,
1027,,
1028,,
1029,,
1030,,
1031,,
1032,,
1033,,
1034,,
1035,,
1036,,
1037,,
1038,,
1039,,
1040,,
1041,,
1042,,
1043,,
1044,,
1045,,
1046,,
1047,,
1048,,
1049,,
1050,,
1051,,
1052,,
1053,,
1054,,
1055,,
1056,,
1057,,
1058,,
1059,,
1060,,
10001,근접 공격,
10002,원거리 공격,
10003,근접 멀티 공격,
10004,발걸음,
11001,적군 한 명을 근거리로 타격합니다.,
11002,적군 한 명을 원거리로 타격합니다.,
11003,적군 한 라인을 모두 타격합니다.,
11004,한칸 이동이 가능합니다.,
20001,물어뜯기,
20002,화염뿜기,
20003,메테오,
20004,파이어볼,
20005,힐링,
20006,박치기,
20011,적 하나를 근거리로 타격합니다.,
20012,적 셋을 화염으로 타격합니다.,
20013,적 전체를 타격합니다.,
20014,원거리로 적군 한명을 타격합니다.,
20015,아군 하나를 회복 시킵니다.,
20016,적 하나를 일정 확률로 기절 시킵니다.,
skill_name_1,디노 스킬1,
skill_name_2,디노 스킬2,
skill_name_3,디노 스킬3,
skill_name_4,디노 스킬4,
skill_name_5,디노 스킬5,
skill_name_6,디노 스킬6,
skill_name_7,디노 스킬7,
skill_name_8,디노 스킬8,
skill_name_9,디노 스킬9,
skill_name_10,디노 스킬10,
skill_name_501,몬스터 스킬1,
skill_name_502,몬스터 스킬2,
skill_name_503,몬스터 스킬3,
skill_name_504,몬스터 스킬4,
skill_name_505,몬스터 스킬5,
skill_name_506,몬스터 스킬6,
skill_name_507,몬스터 스킬7,
skill_name_508,몬스터 스킬8,
skill_name_509,몬스터 스킬9,
skill_name_510,몬스터 스킬10,
skill_name_1001,오렌지 머리1 - Headbutt,
skill_name_1002,오렌지 머리2 - moon_sword,
skill_name_1003,오렌지 머리3 - rolling_attack,
skill_name_1004,오렌지 머리1 - Headbutt,
skill_name_1005,수박 머리1 - Headbutt_rolling,
skill_name_1006,수박 머리2 - seed_gun,
skill_name_1007,수박 머리3 - seed_turn,
skill_name_1008,수박 머리1 - Headbutt_rolling,
skill_name_1009,오렌지 머리1 - Headbutt,
skill_name_1010,오렌지 머리2 - moon_sword,
skill_name_1011,오렌지 머리3 - rolling_attack,
skill_name_1012,오렌지 머리1 - Headbutt,
skill_name_1013,코코넛 머리1 - barrier01,
skill_name_1014,코코넛 머리2 - Headbutt,
skill_name_1015,코코넛 머리1 - barrier01,
skill_name_1016,코코넛 머리2 - Headbutt,
skill_name_1017,블루베리 머리1 - berry_gun,
skill_name_1018,블루베리 머리2 - bubble_shotgun,
skill_name_1019,블루베리 머리3 - parabola_shot,
skill_name_1020,블루베리 머리1 - berry_gun,
skill_name_1021,수박 머리1 - Headbutt_rolling,
skill_name_1022,수박 머리2 - seed_gun,
skill_name_1023,수박 머리3 - seed_turn,
skill_name_1024,수박 머리1 - Headbutt_rolling,
skill_name_1025,코코넛 머리1 - barrier01,
skill_name_1026,코코넛 머리2 - Headbutt,
skill_name_1027,코코넛 머리1 - barrier01,
skill_name_1028,코코넛 머리2 - Headbutt,
skill_name_1029,블루베리 머리1 - berry_gun,
skill_name_1030,블루베리 머리2 - bubble_shotgun,
skill_name_1031,블루베리 머리3 - parabola_shot,
skill_name_1032,블루베리 머리1 - berry_gun,
skill_name_1033,용과 머리1 - fly_air_breath,
skill_name_1034,용과 머리2 - tumbleing_breath,
skill_name_1035,용과 머리1 - fly_air_breath,
skill_name_1036,용과 머리2 - tumbleing_breath,
skill_name_1037,용과 머리1 - fly_air_breath,
skill_name_1038,용과 머리2 - tumbleing_breath,
skill_name_1039,용과 머리1 - fly_air_breath,
skill_name_1040,용과 머리2 - tumbleing_breath,
skill_name_1101,오렌지 꼬리1 - buff01,
skill_name_1102,오렌지 꼬리2 - tail_drill,
skill_name_1103,오렌지 꼬리3 - tail_knife,
skill_name_1104,오렌지 꼬리1 - buff01,
skill_name_1105,수박 꼬리1 - buff01,
skill_name_1106,수박 꼬리2 - healing01,
skill_name_1107,수박 꼬리3 - jump_attack,
skill_name_1108,수박 꼬리1 - buff01,
skill_name_1109,오렌지 꼬리1 - buff01,
skill_name_1110,오렌지 꼬리2 - tail_drill,
skill_name_1111,오렌지 꼬리3 - tail_knife,
skill_name_1112,오렌지 꼬리1 - buff01,
skill_name_1113,코코넛 꼬리1 - jump_attack,
skill_name_1114,코코넛 꼬리2 - stomp,
skill_name_1115,코코넛 꼬리3 - tail_shot,
skill_name_1116,코코넛 꼬리1 - jump_attack,
skill_name_1117,블루베리 꼬리1 - jump_attack,
skill_name_1118,블루베리 꼬리2 - tumbling_shot,
skill_name_1119,블루베리 꼬리1 - jump_attack,
skill_name_1120,블루베리 꼬리2 - tumbling_shot,
skill_name_1121,수박 꼬리1 - buff01,
skill_name_1122,수박 꼬리2 - healing01,
skill_name_1123,수박 꼬리3 - jump_attack,
skill_name_1124,수박 꼬리1 - buff01,
skill_name_1125,코코넛 꼬리1 - jump_attack,
skill_name_1126,코코넛 꼬리2 - stomp,
skill_name_1127,코코넛 꼬리3 - tail_shot,
skill_name_1128,코코넛 꼬리1 - jump_attack,
skill_name_1129,블루베리 꼬리1 - jump_attack,
skill_name_1130,블루베리 꼬리2 - tumbling_shot,
skill_name_1131,블루베리 꼬리1 - jump_attack,
skill_name_1132,블루베리 꼬리2 - tumbling_shot,
skill_name_1133,용과 꼬리1 - fly_l2r_breath,
skill_name_1134,용과 꼬리1 - fly_l2r_breath,
skill_name_1135,용과 꼬리1 - fly_l2r_breath,
skill_name_1136,용과 꼬리1 - fly_l2r_breath,
skill_name_1137,용과 꼬리1 - fly_l2r_breath,
skill_name_1138,용과 꼬리1 - fly_l2r_breath,
skill_name_1139,용과 꼬리1 - fly_l2r_breath,
skill_name_1140,용과 꼬리1 - fly_l2r_breath,
skill_name_2001,부상 - 기본 공격 불가,
skill_name_2002,부상 - 스킬1 공격 불가,
skill_name_2003,부상 - 스킬2 공격 불가,
skill_name_2004,부상 - 스킬1, 2 공격 불가,
skill_name_2005,부상 - 모든 공격 불가,
skill_name_2006,기절,
skill_name_2007,빙결,
skill_name_2008,수면,
skill_name_2009,매혹,
skill_name_2010,혼란,
skill_name_2011,분노,
skill_name_2012,도발,
skill_name_2013,직사 원거리 - 1인,
skill_name_2014,곡사 원거리 - 1인,
skill_name_2015,직사 원거리 - 멀티,
skill_name_2016,곡사 원거리 - 멀티,
skill_name_2017,다단 직사 원거리 - 1인,
skill_name_2018,다단 곡사 원거리 - 1인,
skill_name_2019,다단 직사 원거리 - 멀티,
skill_name_2020,다단 곡사 원거리 - 멀티,
