idx,class_name,category,max_lv,minting_lv,class,grade,attribute,talent,role,init_coef,hp_coef,atk_coef,def_coef,spd_coef,skill,skill_slot_coef,res_atlas,res_icon,res_base
111,2000,Normal,120,80,1,1,1,1,2,22,15,36,19,37,1010101,10,ui_atlas_skill,ui_icon_class_1,ca_orange_01
112,2000,Normal,120,80,1,1,1,2,2,24,18,30,20,26,1010102,10,ui_atlas_skill,ui_icon_class_1,he_orange_01
113,2000,Normal,120,80,1,1,1,3,2,23,12,28,21,40,1010103,10,ui_atlas_skill,ui_icon_class_1,om_orange_01
211,2001,Normal,120,80,2,1,1,1,3,21,14,29,21,44,2010101,10,ui_atlas_skill,ui_icon_class_2,ca_watermelon_01
212,2001,Normal,120,80,2,1,1,2,3,23,18,23,25,32,2010102,10,ui_atlas_skill,ui_icon_class_2,he_watermelon_01
213,2001,Normal,120,80,2,1,1,3,3,22,18,18,32,30,2010103,10,ui_atlas_skill,ui_icon_class_2,om_watermelon_01
121,2000,Nft,120,80,1,2,1,1,2,22,17,32,22,38,1010101,10,ui_atlas_skill,ui_icon_class_1,ca_orange_01
122,2000,Nft,120,80,1,2,1,2,2,24,19,30,20,32,1010102,10,ui_atlas_skill,ui_icon_class_1,he_orange_01
123,2000,Nft,120,80,1,2,1,3,2,23,15,28,21,35,1010103,10,ui_atlas_skill,ui_icon_class_1,om_orange_01
221,2001,Nft,120,80,2,2,1,1,3,21,15,25,25,34,2010101,10,ui_atlas_skill,ui_icon_class_2,ca_watermelon_01
222,2001,Nft,120,80,2,2,1,2,3,23,18,23,25,32,2010102,10,ui_atlas_skill,ui_icon_class_2,he_watermelon_01
223,2001,Nft,120,80,2,2,1,3,3,22,18,18,32,30,2010103,10,ui_atlas_skill,ui_icon_class_2,om_watermelon_01
131,2000,Nft,120,80,1,3,1,1,2,22,17,32,22,38,1010101,10,ui_atlas_skill,ui_icon_class_1,ca_orange_01
132,2000,Nft,120,80,1,3,1,2,2,24,19,30,20,32,1010102,10,ui_atlas_skill,ui_icon_class_1,he_orange_01
133,2000,Nft,120,80,1,3,1,3,2,23,15,28,21,35,1010103,10,ui_atlas_skill,ui_icon_class_1,om_orange_01
231,2001,Nft,120,80,2,3,1,1,3,21,15,25,25,34,2010101,10,ui_atlas_skill,ui_icon_class_2,ca_watermelon_01
232,2001,Nft,120,80,2,3,1,2,3,23,18,23,25,32,2010102,10,ui_atlas_skill,ui_icon_class_2,he_watermelon_01
233,2001,Nft,120,80,2,3,1,3,3,22,18,18,32,30,2010103,10,ui_atlas_skill,ui_icon_class_2,om_watermelon_01
341,2002,Normal,120,90,3,4,1,1,1,10,10,10,10,10,1010204,15,ui_atlas_skill,ui_icon_class_3,ca_durian_01
342,2002,Normal,120,90,3,4,1,2,1,10,10,10,10,10,1010301,15,ui_atlas_skill,ui_icon_class_3,he_durian_01
343,2002,Normal,120,90,3,4,1,3,1,10,10,10,10,10,1010302,15,ui_atlas_skill,ui_icon_class_3,om_durian_01
351,2002,Nft,120,90,3,5,1,1,1,10,10,10,10,10,1010204,15,ui_atlas_skill,ui_icon_class_3,ca_durian_01
352,2002,Nft,120,90,3,5,1,2,1,10,10,10,10,10,1010301,15,ui_atlas_skill,ui_icon_class_3,he_durian_01
