level,exp,
1,0,
2,101,
3,204,
4,311,
5,424,
6,545,
7,676,
8,818,
9,973,
10,1143,
11,1330,
12,1536,
13,1762,
14,2010,
15,2282,
16,2580,
17,2906,
18,3261,
19,3647,
20,4066,
21,4520,
22,5011,
23,5540,
24,6109,
25,6720,
26,7375,
27,8076,
28,8824,
29,9621,
30,10469,
31,11370,
32,12326,
33,13338,
34,14408,
35,15538,
36,16730,
37,17986,
38,19307,
39,20695,
40,22152,
41,23680,
42,25281,
43,26956,
44,28707,
45,30536,
46,32445,
47,34436,
48,36510,
49,38669,
50,40915,
51,43250,
52,45676,
53,48194,
54,50806,
55,53514,
56,56320,
57,59226,
58,62233,
59,65343,
60,68558,
61,71880,
62,75311,
63,78852,
64,82505,
65,86272,
66,90155,
67,94156,
68,98276,
69,102517,
70,106881,
71,111370,
72,115986,
73,120730,
74,125604,
75,130610,
76,135750,
77,141026,
78,146439,
79,151991,
80,157684,
81,163520,
82,169501,
83,175628,
84,181903,
85,188328,
86,194905,
87,201636,
88,208522,
89,215565,
90,222767,
91,230130,
92,237656,
93,245346,
94,253202,
95,261226,
96,269420,
97,277786,
98,286325,
99,295039,
100,303930,
101,313000,
102,322251,
103,331684,
104,341301,
105,351104,
106,361095,
107,371276,
108,381648,
109,392213,
110,402973,
111,413930,
112,425086,
113,436442,
114,448000,
115,459762,
116,471730,
117,483906,
118,496291,
119,508887,
120,521696,
121,534720,
122,547961,
123,561420,
124,575099,
125,589000,
126,603125,
127,617476,
128,632054,
129,646861,
130,661899,
131,677170,
132,692676,
133,708418,
134,724398,
135,740618,
136,757080,
137,773786,
138,790737,
139,807935,
140,825382,
141,843080,
142,861031,
143,879236,
144,897697,
145,916416,
146,935395,
147,954636,
148,974140,
149,993909,
150,1013945,
151,1034250,
152,1054826,
153,1075674,
154,1096796,
155,1118194,
156,1139870,
157,1161826,
158,1184063,
159,1206583,
160,1229388,
161,1252480,
162,1275861,
163,1299532,
164,1323495,
165,1347752,
166,1372305,
167,1397156,
168,1422306,
169,1447757,
170,1473511,
171,1499570,
172,1525936,
173,1552610,
174,1579594,
175,1606890,
176,1634500,
177,1662426,
178,1690669,
179,1719231,
180,1748114,
181,1777320,
182,1806851,
183,1836708,
184,1866893,
185,1897408,
186,1928255,
187,1959436,
188,1990952,
189,2022805,
