idx,file_name_parts,name,desc,parts_class,grade,parts_type,init_coef,hp_coef,atk_coef,def_coef,spd_coef,hit_rate,avd_rate,cri_rate,cri_dmg,res_rate,def_pen_rate,luk,charm,skill,res_icon
10101,orange_01_headparts,2100,,1,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1010201,res_parts_icon_10101
10102,orange_02_headparts,2101,,1,1,1,0,0,0,0,0,3,0,0,0,0,2,0,0,1010202,res_parts_icon_10102
10103,orange_03_headparts,2102,,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1010203,res_parts_icon_10103
10104,orange_04_headparts,2103,,1,1,1,0,0,0,0,0,4,0,0,0,0,1,0,0,1010204,res_parts_icon_10104
10201,orange_01_eyes,2104,,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,,res_parts_icon_10201
10202,orange_02_eyes,2105,,1,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,,res_parts_icon_10202
10203,orange_03_eyes,2106,,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_10203
10204,orange_04_eyes,2107,,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,,res_parts_icon_10204
10301,orange_01_mouth,2108,,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,1,,res_parts_icon_10301
10302,orange_02_mouth,2109,,1,1,3,0,0,0,0,0,0,0,0,0,0,2,2,0,,res_parts_icon_10302
10303,orange_03_mouth,2110,,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,,res_parts_icon_10303
10304,orange_04_mouth,2111,,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,1,,res_parts_icon_10304
10401,orange_01_back,2112,,1,1,4,0,2,0,0,0,0,0,0,0,1,0,0,0,1020401,res_parts_icon_10401
10402,orange_02_back,2113,,1,1,4,0,2,0,0,0,0,0,0,0,1,0,0,0,1020402,res_parts_icon_10402
10403,orange_03_back,2114,,1,1,4,0,2,0,0,0,0,0,0,1,0,0,0,0,1020403,res_parts_icon_10403
10404,orange_04_back,2115,,1,1,4,0,2,0,0,0,0,1,1,0,1,0,0,0,1020404,res_parts_icon_10404
10501,orange_01_tail,2116,,1,1,5,0,0,0,0,0,0,0,0,2,0,0,0,0,1010301,res_parts_icon_10501
10502,orange_02_tail,2117,,1,1,5,0,0,0,0,0,0,1,0,1,0,2,0,0,1010302,res_parts_icon_10502
