idx,name,buff_type,buff_calculation,stat_type,condition,res_fx_buff,res_fx_buff_text,res_atlas,res_icon
100001,buff_name_100001,1,2,1,0,ca@ca_ani_buff1,fx_health_up,Skill_Icon1,icon_buff_hp_inc
100002,buff_name_100002,1,2,2,0,ca@ca_ani_buff1,none,Skill_Icon1,icon_buff_atk_inc
100003,buff_name_100003,1,2,3,0,ca@ca_ani_buff1,none,Skill_Icon1,icon_buff_def_inc
100004,buff_name_100004,1,2,4,0,ca@ca_ani_buff1,none,Skill_Icon1,icon_buff_spd_inc
100005,buff_name_100005,1,2,5,0,ca@ca_ani_buff1,none,Skill_Icon1,icon_buff_hit_inc
100006,buff_name_100006,1,2,6,0,ca@ca_ani_buff1,none,Skill_Icon1,icon_buff_defpass_inc
100007,buff_name_100007,1,2,7,0,ca@ca_ani_buff1,none,Skill_Icon1,icon_buff_avd_inc
100008,buff_name_100008,1,2,8,0,ca@ca_ani_buff1,none,Skill_Icon1,icon_buff_crirate_inc
100009,buff_name_100009,1,2,9,0,ca@ca_ani_buff1,none,Skill_Icon1,icon_buff_cridmg_inc
100010,buff_name_100010,1,2,10,0,ca@ca_ani_buff1,none,Skill_Icon1,icon_buff_resrate_inc
100011,buff_name_100011,1,1,11,0,ca@ca_ani_buff1,none,Skill_Icon1,icon_buff_luk_inc
100012,buff_name_100012,1,1,12,0,ca@ca_ani_buff1,none,Skill_Icon1,icon_buff_charm_inc
100013,buff_name_100013,1,-1,13,0,ca@ca_ani_buff1,none,Skill_Icon1,icon_buff_coolturn_dec
100014,buff_name_100014,1,0,14,0,ca@ca_ani_buff1,none,Skill_Icon1,icon_buff_res_clear
100015,buff_name_100015,1,2,2,0,ca@ca_ani_buff1,none,Skill_Icon1,icon_buff_heal
100016,buff_name_100016,1,0,16,0,ca@ca_ani_buff1,none,Skill_Icon1,icon_buff_heal_inc
100017,buff_name_100017,1,2,17,0,ca@ca_ani_buff1,none,Skill_Icon1,icon_buff_countatk
100018,buff_name_100018,1,0,18,0,ca@ca_ani_buff1,none,Skill_Icon1,icon_buff_alldebuff_avoid
100019,buff_name_100019,1,0,20,0,ca@ca_ani_buff1,none,Skill_Icon1,icon_buff_allres_avoid
100020,buff_name_100020,1,0,18,0,ca@ca_ani_buff1,none,Skill_Icon1,icon_buff_allbuff_extension
100021,buff_name_100021,1,2,17,0,ca@ca_ani_buff1,none,Skill_Icon1,icon_buff_def_ignore
100022,buff_name_100022,1,0,22,0,ca@ca_ani_buff1,none,Skill_Icon1,
100022,buff_name_100022,,,,,ca@ca_ani_buff1,none,Skill_Icon1,icon_buff_inc_attri_mg
200001,debuff_name_200001,2,-1,1,0,ca@ca_ani_debuff1,fx_health_up,Skill_Icon5,icon_debuff_str
200002,debuff_name_200002,2,-2,2,0,ca@ca_ani_debuff1,none,Skill_Icon6,icon_debuff_vit
200003,debuff_name_200003,2,-2,3,0,ca@ca_ani_debuff1,none,Skill_Icon7,icon_debuff_agi
200004,debuff_name_200004,2,-2,4,0,ca@ca_ani_debuff1,none,Skill_Icon8,icon_debuff_dex
200005,debuff_name_200005,2,-2,5,0,ca@ca_ani_debuff1,none,Skill_Icon9,icon_debuff_luk
200006,debuff_name_200006,2,-2,6,0,ca@ca_ani_debuff1,none,Skill_Icon10,icon_debuff_atk
200007,debuff_name_200007,2,-2,7,0,ca@ca_ani_debuff1,none,Skill_Icon11,icon_debuff_def
200008,debuff_name_200008,2,-2,8,0,ca@ca_ani_debuff1,none,Skill_Icon12,icon_debuff_def_pen
200009,debuff_name_200009,2,-2,9,0,ca@ca_ani_debuff1,none,Skill_Icon13,icon_debuff_hp
200010,debuff_name_200010,2,-2,10,0,ca@ca_ani_debuff1,none,Skill_Icon14,icon_debuff_hit
200011,debuff_name_200011,2,-1,11,0,ca@ca_ani_debuff1,none,Skill_Icon15,icon_debuff_avd
200012,debuff_name_200012,2,-1,12,0,ca@ca_ani_debuff1,none,Skill_Icon16,icon_debuff_cri
200013,debuff_name_200013,2,-1,13,0,ca@ca_ani_debuff1,none,Skill_Icon17,icon_debuff_cri_dmg
200014,debuff_name_200014,2,0,14,0,ca@ca_ani_debuff1,none,Skill_Icon18,icon_debuff_res
200015,debuff_name_200015,2,0,19,0,ca@ca_ani_debuff1,none,Skill_Icon19,icon_debuff_res
200016,debuff_name_200016,2,0,15,0,ca@ca_ani_debuff1,none,Skill_Icon20,icon_debuff_spd
200017,debuff_name_200017,2,0,18,0,ca@ca_ani_debuff1,none,Skill_Icon21,icon_debuff_att_dmg
200018,debuff_name_200018,2,0,22,0,ca@ca_ani_debuff1,none,Skill_Icon22,icon_debuff_att
200019,debuff_name_200019,2,0,0,0,ca@ca_ani_debuff1,none,Skill_Icon23,icon_debuff_dmg
200020,debuff_name_200020,2,0,1,0,ca@ca_ani_debuff1,none,Skill_Icon24,icon_debuff_dmg
200021,debuff_name_200021,,,,,ca@ca_ani_debuff1,none,Skill_Icon25,icon_debuff_dec_attri_mg
