idx,lv,condition_type,condition_value,lv_up_item_1,lv_up_item1_val,lv_up_item_2,lv_up_item2_val,lv_up_item_3,lv_up_item3_val,lv_up_cost1_type,lv_up_cost1_val,lv_up_cost2_type,lv_up_cost2_val,main_act_rate,main_act_rate_value,main_act_ref,main_act_ref_type,main_act_value_type,main_act_value,main_act_turn,sub_act1_rate,sub_act1_rate_value,sub_act1_ref,sub_act1_ref_type,sub_act1_value_type,sub_act1_value,sub_act1_turn,sub_act2_rate,sub_act2_rate_value,sub_act1_ref,sub_act1_ref_type,sub_act1_value_type,sub_act2_value,sub_act2_turn
1010101,0,,,,,,,,,,,,,100,,1,3,2,100,,100,,,,,,,,,,,,,
1010102,0,,,,,,,,,,,,,100,,1,3,2,100,,100,,,,,5,5,,,,,,,
1010103,0,,,,,,,,,,,,,100,,1,3,2,100,,60,,2,2,2,30,2,,,,,,,
1010201,1,,,1,10,2,10,3,20,1,1000,,,100,,1,3,2,120,,20,,2,2,2,40,1,,,,,,,
1010201,2,,,1,10,2,10,3,20,1,2000,3,200,100,,1,3,2,150,,20,,2,2,2,40,2,,,,,,,
1010201,3,,,1,10,2,10,3,20,1,3000,3,500,100,,1,3,2,200,,20,,2,2,2,40,3,,,,,,,
1010202,1,,,1,10,2,10,3,20,1,1000,,,100,,1,3,2,150,,50,,1,3,2,200,,,,,,,,
1010202,2,,,1,10,2,10,3,20,1,2000,3,200,100,,1,3,2,200,,50,,1,3,2,220,,,,,,,,
1010202,3,,,1,10,2,10,3,20,1,3000,3,500,100,,1,3,2,250,,50,,1,3,2,250,,,,,,,,
1010203,1,,,1,10,2,10,3,20,1,1000,,,100,,1,3,2,120,,60,,,,,,1,,,,,,,
1010203,2,,,1,10,2,10,3,20,1,2000,3,200,100,,1,3,2,150,,60,,,,,,1,,,,,,,
1010203,3,,,1,10,2,10,3,20,1,3000,3,500,100,,1,3,2,200,,60,,,,,,1,,,,,,,
1010204,1,,,1,10,2,10,3,20,1,1000,,,100,,1,3,2,140,,50,,1,14,4,0,,,,,,,,
1010204,2,,,1,10,2,10,3,20,1,2000,3,200,100,,1,3,2,160,,50,,1,14,4,0,,,,,,,,
1010204,3,,,1,10,2,10,3,20,1,3000,3,500,100,,1,3,2,180,,50,,1,14,4,0,,,,,,,,
1010301,1,,,1,10,2,10,3,20,1,1000,,,100,,,,,,4,100,,,,,20,4,100,,,,,15,4
1010301,2,,,1,10,2,10,3,20,1,2000,3,200,100,,,,,,4,100,,,,,25,4,100,,,,,20,4
1010301,3,,,1,10,2,10,3,20,1,3000,3,500,100,,,,,,4,100,,,,,30,4,100,,,,,25,4
1010302,1,,,1,10,2,10,3,20,1,1000,,,100,,1,3,2,150,,60,,1,5,1,3,2,,,,,,,
1010302,2,,,1,10,2,10,3,20,1,2000,3,200,100,,1,3,2,200,,60,,1,5,1,3,2,,,,,,,
1010302,3,,,1,10,2,10,3,20,1,3000,3,500,100,,1,3,2,250,,60,,1,5,1,3,2,,,,,,,
1010303,1,,,1,10,2,10,3,20,1,1000,,,100,,,,,150,,60,,,,,3,2,,,,,,,
1010303,2,,,1,10,2,10,3,20,1,2000,3,200,100,,,,,200,,60,,,,,3,2,,,,,,,
1010303,3,,,1,10,2,10,3,20,1,3000,3,500,100,,1,1,2,250,,60,,,,,3,2,,,,,,,
1010304,1,,,1,10,2,10,3,20,1,1000,,,100,,1,3,2,55,,50,,2,2,2,5,1,,,,,,1,
1010304,2,,,1,10,2,10,3,20,1,2000,3,200,100,,1,3,2,60,,50,,2,2,2,5,2,,,,,,1,
1010304,3,,,1,10,2,10,3,20,1,3000,3,500,100,,1,3,2,65,,50,,2,2,2,5,3,,,,,,1,
1020401,1,,,1,10,2,10,3,20,1,1000,,,80,,2,2,2,10,1,,,,,,,,,,,,,,
1020401,2,,,1,10,2,10,3,20,1,2000,3,200,80,,2,2,2,10,2,,,,,,,,,,,,,,
1020401,3,,,1,10,2,10,3,20,1,3000,3,500,80,,2,2,2,10,3,,,,,,,,,,,,,,
1020402,1,,,1,10,2,10,3,20,1,1000,,,100,,1,3,2,10,,100,,1,3,2,5,,,,,,,,
1020402,2,,,1,10,2,10,3,20,1,2000,3,200,100,,1,3,2,15,,100,,1,3,2,10,,,,,,,,
1020402,3,,,1,10,2,10,3,20,1,3000,3,500,100,,1,3,2,20,,100,,1,3,2,15,,,,,,,,
1020403,1,,,1,10,2,10,3,20,1,1000,,,100,,1,11,3,20,,,,,,,,,,,,,,,
1020403,2,,,1,10,2,10,3,20,1,2000,3,200,100,,1,11,3,25,,,,,,,,,,,,,,,
1020403,3,,,1,10,2,10,3,20,1,3000,3,500,100,,1,11,3,30,,,,,,,,,,,,,,,
1020404,1,,,1,10,2,10,3,20,1,1000,,,100,,5,0,5,5,,,,,,,,,,,,,,,
1020404,2,,,1,10,2,10,3,20,1,2000,3,200,100,,5,0,5,6,,,,,,,,,,,,,,,
