idx,name,desc,max_lv,lv_up_cost1_type,lv_up_cost2_type,type,cool_turn,target,target_type,target_condition,main_trigger,main_act,main_act_count,main_act_id,main_act_ani_type,res_main_act_run_ani,res_main_act_run_fx,res_main_act_ani,res_main_act_ani2,res_main_act_fx,main_act_fx_type,res_main_act_fx_projectile,res_main_act_fx_hit,sub_act1_type,sub_act1_trigger,sub_act1,sub_act1_count,sub_act1_id,sub_act1_ani_type,res_sub_act1_run_ani,res_sub_act1_run_fx,res_sub_act1_ani,res_sub_act1_fx,sub_act1_fx_type,res_sub_act1_fx_projectile,res_sub_act1_fx_hit,sub_act1_target,sub_act1_target_condition,sub_act1_target_type,sub_act2_type,sub_act2_trigger,sub_act2,sub_act2_count,sub_act2_id,sub_act1_ani_type,res_sub_act1_run_ani,res_sub_act1_run_fx,res_sub_act1_ani,res_sub_act1_fx,sub_act2_fx_type,res_sub_act1_fx_projectile,res_sub_act1_fx_hit,sub_act2_target,sub_act2_target_condition,sub_act2_target_type,res_atlas,res_icon
1010101,4000,4500,0,,,1,0,3,1,2,0,1,1,,2,ca@ca_ani_run,,ca@ca_ani_attack2,,,,,fx_skill_hit_01,1,16,6,1,,,,,,,,,fx_skill_hit_01,4,,,,,,,,,,,,,,,,,,,ui_atlas_skill,ui_icon_skill_1
1010102,4000,4501,0,,,1,0,3,1,2,0,1,1,,2,ca@ca_ani_run,,ca@ca_ani_attack2,,,,,fx_skill_hit_01,1,16,4,1,100011,,,,,,,,fx_skill_hit_01,1,,,,,,,,,,,,,,,,,,,ui_atlas_skill,ui_icon_skill_2
1010103,4000,4502,0,,,1,0,3,1,2,0,1,1,,2,ca@ca_ani_run,,ca@ca_ani_attack2,,,,,fx_skill_hit_01,1,16,5,1,5,,,,,,,,fx_skill_hit_01,4,2,,,,,,,,,,,,,,,,,,ui_atlas_skill,ui_icon_skill_3
1010201,4001,4503,3,1,3,1,2,3,3,2,0,1,1,,5,ca@ca_ani_run,,ca@ca_orange_Headbutt,,,,fx_skill_orange_Headbutt,fx_skill_hit_01,1,0,5,1,5,,,,,,,,fx_skill_hit_01,4,2,,,,,,,,,,,,,,,,,,,
1010202,4002,4504,3,1,3,1,2,3,1,2,0,1,1,,1,,,ca@ca_orange_moon_sword,,,,fx_skill_orange_moon_sword,fx_skill_hit_01,3,8,1,1,,1,,,ca@ca_orange_moon_sword,,,,fx_skill_hit_01,4,2,,,,,,,,,,,,,,,,,,,
1010203,4003,4505,3,1,3,1,1,3,1,2,0,1,1,,2,ca@ca_ani_run,,ca@ca_ani_attack1,,,,,fx_skill_hit_01,3,0,8,1,,1,,,ca@ca_ani_hide1,,,,fx_skill_hit_01,1,2,,,,,,,,,,,,,,,,,,,
1010204,4004,4506,3,1,3,1,2,3,1,2,0,1,1,,3,ca@ca_ani_run,,ca@ca_orange_jump_attack,,,,,fx_skill_hit_01,3,21,4,1,100022,,,,,,,,fx_skill_hit_01,1,,,,,,,,,,,,,,,,,,,,
1010301,4005,4507,3,1,3,1,2,1,1,2,0,8,1,,1,,,ca@ca_ani_hide1,,,,,,3,22,4,1,100009,,,,,,,,,1,2,,2,,4,,100008,,,,,,,,,1,2,,,
1010302,4006,4508,3,1,3,1,2,3,1,2,0,1,1,,2,ca@ca_ani_run2,,ca@ca_orange_tail_knife,,,,,fx_skill_hit_01,3,0,4,1,100004,,,,,,,,fx_skill_hit_01,1,2,,,,,,,,,,,,,,,,,,,
1010303,4007,4509,3,1,3,1,2,3,1,2,0,1,5,,2,ca@ca_ani_rolling_move,,ca@ca_orange_rolling_attack,,,,,fx_skill_hit_01,3,23,1,3,,2,ca@ca_ani_rolling_move,,ca@ca_orange_rolling_attack,,,,fx_skill_hit_01,3,2,5,,,,,,,,,,,,,,,,,,
1010304,4008,4510,3,1,3,1,2,3,1,2,0,1,2,,2,ca@ca_ani_run,,ca@ca_orange_2tail_attack,,,,,fx_skill_hit_01,1,24,5,1,5,,,,,,,,fx_skill_hit_01,4,,,2,25,7,,,,,,,,,,,4,,,,
1020401,4009,4511,3,1,3,2,0,3,1,2,28,5,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020402,4010,4512,3,1,3,2,0,1,1,2,1,4,1,100002,,,,ca@ca_ani_buff1,,,,,,3,15,4,1,100002,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,
1020403,4011,4513,3,1,3,2,0,1,1,2,1,4,1,100006,,,,ca@ca_ani_buff1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020404,4012,4514,3,1,3,2,0,1,1,2,1,4,1,100008,,,,ca@ca_ani_buff1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010101,4000,4515,0,,,1,0,3,1,2,0,1,1,,1,,,ca@ca_watermelon_Headbutt_rolling,,,,,fx_skill_hit_01,1,17,4,1,100002,,,,,,,,,2,{2;24},1,,,,,,,,,,,,,,,,,,
2010102,4000,4516,0,,,1,0,3,1,2,0,1,1,,1,,,ca@ca_watermelon_Headbutt_rolling,,,,,fx_skill_hit_01,1,17,4,1,100003,,,,,,,,,2,{2;24},1,,,,,,,,,,,,,,,,,,
2010103,4000,4517,0,,,1,0,3,1,2,0,1,1,,1,,,ca@ca_watermelon_Headbutt_rolling,,,,,fx_skill_hit_01,1,17,2,1,,,,,,,,,,2,{2;24},1,,,,,,,,,,,,,,,,,,
2010201,4013,4518,3,1,3,1,3,3,1,2,0,1,1,,1,,,ca@ca_watermelon_Headbutt_rolling,,,,,fx_skill_hit_01,3,0,4,1,100005,,,,,,,,,2,2,6,,,,,,,,,,,,,,,,,,
2010202,4014,4519,3,1,3,1,4,3,2,2,0,1,12,,1,,,ca@ca_watermelon_seed_turn,,,,,fx_skill_hit_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010203,4015,4520,3,1,3,1,3,2,1,2,0,2,1,,1,,,ca@ca_singing_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010204,4016,4521,3,1,3,1,3,2,2,{2;29},0,4,1,100003,1,,,ca@ca_singing_02,,,,,,3,0,4,1,100003,1,,,ca@ca_singing_01,,,,,2,{2;33},2,,,,,,,,,,,,,,,,,,
2010301,4017,4522,3,1,3,1,3,3,1,2,0,1,1,,2,ca@ca_ani_run,,ca@ca_watermelon_jump_attack,,,,,fx_skill_hit_01,3,0,1,1,,,,,,,,,,4,2,3,,,,,,,,,,,,,,,,,,
2010302,4018,4523,3,1,3,1,5,2,1,2,0,2,1,,1,,,ca@ca_tail_throw_01,,,,,,3,0,4,1,200001,,,,,,,,,1,,,3,0,4,1,100001,,,,,,,,,4,,,,
2010303,4019,4524,3,1,3,1,3,2,2,2,0,4,1,100007,1,,,om@om_singing_03,,,,,,3,0,4,1,100007,1,,,ca@ca_singing_01,,,,,2,2,2,,,,,,,,,,,,,,,,,,
2010304,4020,4525,3,1,3,1,4,2,2,20,0,4,1,100014,1,,,ca@ca_ani_buff2,,,,,,1,0,4,1,100011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020401,4021,4526,3,1,3,2,0,2,1,{2;27;23},1,4,1,100013,1,,,ca@ca_ani_buff1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
