id,kr,en,ch,tw,jp,ru,de,th,vi,ind,ms,fr,es,fa,ar
1,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,
8,%,,,,,,,,,,,,,,
9,/,,,,,,,,,,,,,,
10,디노,,,,,,,,,,,,,,
11,알,,,,,,,,,,,,,,
12,부화,,,,,,,,,,,,,,
13,선택,,,,,,,,,,,,,,
14,디노 알 부화,,,,,,,,,,,,,,
15,디노 알 선택,,,,,,,,,,,,,,
16,디노 레벨업,,,,,,,,,,,,,,
17,알을 열심히 흔들어서 부화시켜 보세요,,,,,,,,,,,,,,
18,현재 보유한 알이 없습니다.,,,,,,,,,,,,,,
19,보유 알,,,,,,,,,,,,,,
20,보유 조각,,,,,,,,,,,,,,
21,사용할 경험의 정수를 선택하세요,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,
26,확인,,,,,,,,,,,,,,
27,예,,,,,,,,,,,,,,
28,아니오,,,,,,,,,,,,,,
29,교체,,,,,,,,,,,,,,
30,체력,,,,,,,,,,,,,,
31,공격력,,,,,,,,,,,,,,
32,방어력,,,,,,,,,,,,,,
33,순발력,,,,,,,,,,,,,,
34,명중,,,,,,,,,,,,,,
35,회피,,,,,,,,,,,,,,
36,치명타 확률,,,,,,,,,,,,,,
37,치명타 피해,,,,,,,,,,,,,,
38,방어 관통,,,,,,,,,,,,,,
39,상태 저항,,,,,,,,,,,,,,
40,행운,,,,,,,,,,,,,,
41,매력,,,,,,,,,,,,,,
42,쿨타임,,,,,,,,,,,,,,
43,턴,,,,,,,,,,,,,,
44,LV,,,,,,,,,,,,,,
45,레벨업,,,,,,,,,,,,,,
46,민팅,,,,,,,,,,,,,,
47,디노를 민팅할 수 있는 조건을 만족하지 않습니다.,,,,,,,,,,,,,,
48,전체 성장률,,,,,,,,,,,,,,
49,체력 성장률,,,,,,,,,,,,,,
50,공격력 성장률,,,,,,,,,,,,,,
51,방어력 성장률,,,,,,,,,,,,,,
52,순발력 성장률,,,,,,,,,,,,,,
53,파츠 없음,,,,,,,,,,,,,,
54,신규순,,,,,,,,,,,,,,
55,레벨순,,,,,,,,,,,,,,
56,등급순,,,,,,,,,,,,,,
57,속성,,,,,,,,,,,,,,
58,역할,,,,,,,,,,,,,,
59,클래스,,,,,,,,,,,,,,
60,레벨,,,,,,,,,,,,,,
61,자동 선택,,,,,,,,,,,,,,
62,MAX,,,,,,,,,,,,,,
63,최대 레벨 이상으로는 업그레이드 할 수 없습니다.,,,,,,,,,,,,,,
70,머리,,,,,,,,,,,,,,
71,눈,,,,,,,,,,,,,,
72,입,,,,,,,,,,,,,,
73,등,,,,,,,,,,,,,,
74,꼬리,,,,,,,,,,,,,,
75,날개,,,,,,,,,,,,,,
76,제작,,,,,,,,,,,,,,
77,필요 재료,,,,,,,,,,,,,,
78,스킨 파츠 제작,,,,,,,,,,,,,,
79,스킨 파츠를 제작하시겠습니까?,,,,,,,,,,,,,,
80,디노 이름 변경,,,,,,,,,,,,,,
81,디노 이름은 2 ~ 10자까지 입력이 가능합니다.,,,,,,,,,,,,,,
82,주의사항 : 디노 이름 변경은 최초 1회만 무료이며 그 이후에는 재화가 필요합니다.,,,,,,,,,,,,,,
83,변경,,,,,,,,,,,,,,
84,이전과 같은 이름을 입력하셨네요,,,,,,,,,,,,,,
85,이름을 입력해주세요,,,,,,,,,,,,,,
