idx,subject,trigger_act,target
0,,,
1,Stage,Start,
2,Wave,Start,
3,Turn,Start,
4,Me,Kill,Enemy
5,Me,Hited,
6,Me,Cc,
7,Me,Hited,Target
8,Me,Crihit,Target
9,Me,Avd,
10,Me,Dead,
11,Me,Alive,
12,Target,Hited,
13,Target,Cc,
14,Ally,Kill,Enemy
15,Ally,Dead,1
16,Me,Burstcombo,1stOrder
17,Me,Burstcombo,2stOrder
18,Me,Burstcombo,3stOrder
19,Me,Burstcombo,4stOrder
20,Me,Burstcombo,5stOrder
21,Target,scheduleforuseskill,
22,Turn,end,
23,Target,dead,
24,MainAct,Crihit,1
25,MainAct,Crihit,2
26,MainAct,Crihit,3
27,MainAct,Crihit,All
28,Me,Defpen,Target
29,Me,Shield,1
30,MyHp,Less,0.05
31,Target,Defence,
32,Me,Burstcombo,
33,Me,Def,0.8
34,ME,Atk,0.8
